,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,14509.0,689.2,0.000912776,0.02071,-0.06180,0.07595,-0.10547
1,2,23609.7,423.6,0.007528449,0.10498,-0.23600,0.09058,0.20266
2,3,27739.9,360.5,0.000924757,0.01097,0.10469,0.00263,-0.00289
3,4,33337.0,300.0,0.007091170,0.07003,-0.17450,-0.14182,-0.13951
4,5,33752.4,296.3,0.010396660,0.10141,0.05546,0.19152,-0.24830
5,6,34940.4,286.2,0.058118140,0.54760,-0.21013,0.30413,-0.64105
6,7,36458.7,274.3,0.008343755,0.07534,0.03861,0.14943,-0.22698
7,8,38644.4,258.8,0.013302714,0.11333,-0.10976,0.10856,-0.29915
8,9,40220.6,248.6,0.004276150,0.03500,0.08627,-0.01738,0.16509
9,10,41795.0,239.3,0.008259608,0.06506,-0.25420,0.01925,0.00856
10,11,43032.9,232.4,0.013016837,0.09958,-0.12610,0.11583,-0.26508
11,12,43788.6,228.4,0.006083753,0.04574,0.19217,0.06252,0.07001
12,13,44581.2,224.3,0.007755516,0.05727,0.02387,-0.12620,0.20193
13,14,45197.4,221.3,0.003616571,0.02634,-0.14251,0.06549,-0.04177
14,15,46492.4,215.1,0.004594583,0.03253,-0.00775,0.12115,-0.13340
15,16,46902.2,213.2,0.036151904,0.25375,-0.19747,0.26740,-0.37849
16,17,47766.8,209.4,0.035644237,0.24566,0.04827,0.17090,-0.46274
17,18,48667.7,205.5,0.002790994,0.01888,-0.00995,0.13423,0.02764
18,19,49493.6,202.0,0.008600298,0.05721,-0.00273,-0.13487,0.19750
19,20,51092.1,195.7,0.003715368,0.02394,-0.10435,-0.03678,-0.10816
