,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,1507.7,6632.4,0.000014046,0.00307,0.03709,0.04109,-0.00154
1,2,4485.8,2229.3,0.000011340,0.00083,0.02139,-0.00402,-0.01894
2,3,7392.2,1352.8,0.010304854,0.45893,0.00147,-0.00236,0.67744
3,4,19011.0,526.0,0.000013438,0.00023,-0.01497,-0.00295,0.00008
4,5,28320.4,353.1,0.011636196,0.13527,-0.00009,-0.00071,0.36778
5,6,28376.3,352.4,0.000053540,0.00062,0.00689,0.02395,-0.00029
6,7,29373.4,340.4,0.003251927,0.03645,-0.18492,0.04746,0.00029
7,8,29889.0,334.6,0.000035701,0.00039,-0.00032,-0.00095,-0.01980
8,9,32266.9,309.9,0.000055773,0.00057,-0.02385,-0.00014,-0.00006
9,10,34121.1,293.1,0.000074118,0.00072,-0.00710,0.00123,0.02575
10,11,35460.2,282.0,0.000045668,0.00042,-0.00547,0.00120,0.01982
11,12,36130.3,276.8,0.001452221,0.01323,-0.11372,0.01729,-0.00012
12,13,37331.9,267.9,0.085987343,0.75828,0.86300,-0.11622,-0.00064
13,14,37827.6,264.4,0.000285529,0.00248,0.00429,-0.04938,-0.00527
14,15,37891.8,263.9,0.003719326,0.03231,-0.16154,0.07875,-0.00423
15,16,37941.8,263.6,0.000100487,0.00087,0.00011,-0.00000,0.02953
16,17,38051.1,262.8,0.007629600,0.06601,-0.00036,-0.00093,0.25692
17,18,39082.4,255.9,0.005610550,0.04726,-0.19591,0.09423,0.00007
18,19,40177.9,248.9,0.000027265,0.00022,-0.01495,-0.00018,-0.00010
19,20,40793.5,245.1,0.303767011,2.45146,-1.52262,0.36481,0.00024
