,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,17295.1,578.2,0.004964293,0.09450,-0.06787,0.20343,-0.22024
1,2,18896.4,529.2,0.001654787,0.02883,-0.02881,0.10971,-0.12634
2,3,29313.9,341.1,0.001758628,0.01975,0.00526,-0.14011,-0.00956
3,4,32789.1,305.0,0.000293336,0.00295,0.02756,-0.03157,0.03448
4,5,33185.9,301.3,0.000718543,0.00713,0.01545,0.08015,-0.02158
5,6,34765.5,287.6,0.000336642,0.00319,0.02097,0.05204,0.00630
6,7,35882.0,278.7,0.008008735,0.07348,-0.09784,-0.25022,0.03597
7,8,36944.9,270.7,0.002016455,0.01797,0.01464,-0.10527,0.08169
8,9,37190.9,268.9,0.000305556,0.00270,-0.01545,-0.01651,0.04684
9,10,39430.7,253.6,0.019958854,0.16664,-0.18367,0.08456,-0.35462
10,11,41752.0,239.5,0.010631459,0.08383,-0.22544,-0.04468,-0.17609
11,12,43142.7,231.8,0.013032787,0.09945,0.12579,0.28113,0.06777
12,13,43176.3,231.6,0.014753295,0.11249,0.13485,0.25894,0.16510
13,14,44333.4,225.6,0.000678667,0.00504,0.02947,-0.02102,0.06107
14,15,45073.4,221.9,0.006849600,0.05003,0.09047,0.18654,-0.08395
15,16,45749.6,218.6,0.001427415,0.01027,-0.01767,-0.01873,0.09802
16,17,45909.3,217.8,0.006860717,0.04920,0.18813,0.11684,0.01244
17,18,46885.3,213.3,0.002374922,0.01668,0.03407,0.07465,-0.09971
18,19,47696.5,209.7,0.001170510,0.00808,-0.07591,-0.04039,-0.02617
19,20,48396.9,206.6,0.001452145,0.00988,0.06140,0.01464,0.07677
