,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,2163.0,4623.2,0.000037394,0.00569,-0.03275,-0.06796,-0.00101
1,2,7256.7,1378.0,0.002190227,0.09936,-0.27926,0.09045,-0.11487
2,3,10407.1,960.9,0.000018125,0.00057,0.02020,-0.00389,0.01225
3,4,12144.0,823.5,0.002090167,0.05666,0.09357,-0.06745,0.20823
4,5,19202.7,520.8,0.031263848,0.53599,0.59135,0.43160,-0.00334
5,6,23146.6,432.0,0.001176821,0.01674,0.11827,0.02943,-0.04339
6,7,26233.9,381.2,0.071372861,0.89567,0.44925,-0.16351,0.81676
7,8,26965.8,370.8,0.000370147,0.00452,-0.05564,-0.03660,0.00912
8,9,29250.9,341.9,0.004584167,0.05159,-0.20990,0.00619,-0.08659
9,10,32318.8,309.4,0.000091482,0.00093,-0.01168,0.02251,-0.01700
10,11,33557.1,298.0,0.176409929,1.73067,-1.20322,0.37113,-0.38105
11,12,34431.9,290.4,0.042493141,0.40629,-0.54109,0.30097,-0.15142
12,13,35997.5,277.8,0.001013042,0.00926,0.04541,-0.03906,0.07535
13,14,36623.9,273.0,0.001036891,0.00932,-0.09608,-0.00725,-0.00598
14,15,39717.1,251.8,0.001047968,0.00869,-0.07603,0.04530,-0.02921
15,16,39911.8,250.6,0.002309499,0.01905,-0.10015,-0.04860,-0.08160
16,17,40347.9,247.8,0.001587913,0.01296,-0.05730,0.09749,0.01296
17,18,40634.9,246.1,0.009192126,0.07447,-0.24119,-0.02849,-0.12445
18,19,41174.3,242.9,0.009802724,0.07838,0.23312,-0.08950,0.12659
19,20,41352.6,241.8,0.002894677,0.02304,-0.14178,-0.04960,0.02197
