,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,2747.4,3639.9,0.000002098,0.00025,-0.00211,-0.00809,-0.01348
1,2,8352.3,1197.3,0.000069668,0.00275,0.03395,0.02265,0.03287
2,3,12727.6,785.7,0.000034905,0.00090,0.01270,0.02346,0.01381
3,4,16623.2,601.6,0.003585896,0.07102,0.06083,-0.16373,-0.20127
4,5,17261.3,579.3,0.009305425,0.17748,-0.12028,0.04007,-0.40175
5,6,18446.7,542.1,0.155051697,2.76716,-0.77199,-0.20503,-1.45916
6,7,19072.0,524.3,0.015262100,0.26345,0.24962,0.03721,0.44694
7,8,23213.2,430.8,0.002585606,0.03667,0.01133,-0.04900,0.18477
8,9,25772.3,388.0,0.019696912,0.25161,-0.13812,0.03275,-0.48110
9,10,27105.2,368.9,0.002894724,0.03516,-0.14398,-0.09191,0.07734
10,11,28172.7,355.0,0.001105463,0.01292,-0.02668,0.02566,0.10746
11,12,28778.9,347.5,0.023386477,0.26753,-0.33595,-0.19792,-0.33985
12,13,30420.4,328.7,0.015114323,0.16357,-0.26061,-0.15723,-0.26632
13,14,30908.0,323.5,0.000170913,0.00182,-0.00071,-0.00441,0.04243
14,15,31348.0,319.0,0.008017543,0.08420,0.17138,0.11345,0.20484
15,16,32653.4,306.2,0.001878501,0.01894,-0.01726,0.13405,-0.02590
16,17,34998.7,285.7,0.000013268,0.00012,0.00261,-0.00160,-0.01074
17,18,35715.9,280.0,0.032544063,0.29998,0.10410,-0.01896,-0.53738
18,19,35855.3,278.9,0.016882205,0.15501,0.13513,0.03720,0.36792
19,20,36293.5,275.5,0.023787002,0.21577,0.40389,0.15803,-0.16635
