,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,12719.6,786.2,0.000329265,0.00852,0.08091,-0.03783,-0.02334
1,2,25094.9,398.5,0.000044701,0.00059,-0.02368,-0.00505,-0.00060
2,3,25484.0,392.4,0.032104318,0.41474,-0.63027,-0.11504,-0.06523
3,4,29200.1,342.5,0.000810387,0.00914,0.08725,0.02296,-0.03159
4,5,29543.3,338.5,0.000165144,0.00184,0.03940,0.00786,0.01504
5,6,30610.1,326.7,0.009363037,0.10070,0.00411,-0.26081,-0.18073
6,7,31199.6,320.5,0.034877626,0.36802,0.07250,0.58977,0.12220
7,8,33620.2,297.4,0.001747089,0.01711,0.09316,-0.07678,-0.05034
8,9,36870.7,271.2,0.004980267,0.04447,0.19546,0.01998,0.07659
9,10,37534.0,266.4,0.000905143,0.00794,0.05259,-0.07159,0.00692
10,11,37932.2,263.6,0.003759233,0.03263,0.17716,-0.02572,0.02409
11,12,39971.0,250.2,0.014578928,0.12008,0.01804,-0.19053,0.28888
12,13,40665.3,245.9,0.009923387,0.08034,0.00570,0.13256,0.25046
13,14,41489.5,241.0,0.012522732,0.09937,-0.27993,-0.13209,0.05963
14,15,42163.8,237.2,0.010335051,0.08070,0.07680,0.11219,0.24942
15,16,42915.8,233.0,0.008136033,0.06241,-0.04473,-0.01750,0.24516
16,17,43979.0,227.4,0.001408903,0.01055,0.08377,-0.03910,-0.04472
17,18,45423.6,220.2,0.014188520,0.10283,-0.07486,0.31164,0.01052
18,19,47564.2,210.2,0.003704637,0.02564,-0.07859,-0.05757,-0.12708
19,20,48072.9,208.0,0.001967942,0.01348,0.04333,-0.01726,0.10631
