,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,14020.1,713.3,0.000000153,0.00000,-0.00005,-0.00189,0.00014
1,2,17396.5,574.8,0.054787319,1.03680,-1.01681,-0.00260,-0.05379
2,3,19614.4,509.8,0.000256570,0.00431,0.00189,-0.06560,0.00010
3,4,19879.7,503.0,0.000520857,0.00863,-0.09252,-0.00187,-0.00791
4,5,27057.5,369.6,0.000000283,0.00000,0.00016,0.00184,0.00017
5,6,29072.9,344.0,0.000163176,0.00185,0.00032,-0.04298,-0.00074
6,7,33973.4,294.3,0.000015871,0.00015,0.00013,0.01239,-0.00042
7,8,35068.7,285.2,0.000001627,0.00002,-0.00349,-0.00010,0.00176
8,9,36361.7,275.0,0.066512762,0.60219,0.10020,0.00685,-0.76949
9,10,36836.3,271.5,0.013079655,0.11690,0.34160,0.00799,0.01191
10,11,37063.7,269.8,0.000167108,0.00148,0.00247,-0.03818,-0.00450
11,12,37420.6,267.2,0.023979246,0.21096,-0.16395,-0.02120,0.42852
12,13,37438.9,267.1,0.001840921,0.01619,0.01866,-0.12062,-0.03592
13,14,37561.3,266.2,0.001879831,0.01648,-0.00200,-0.00344,0.12830
14,15,38204.7,261.7,0.007982717,0.06879,-0.01042,0.26203,0.00409
15,16,39343.2,254.2,0.001088082,0.00910,0.00565,0.00204,-0.09523
16,17,42040.6,237.9,0.061432364,0.48106,-0.01037,0.69347,0.00713
17,18,42327.2,236.3,0.006284627,0.04888,0.00005,-0.22106,-0.00355
18,19,43990.7,227.3,0.000606357,0.00454,0.02393,0.06056,-0.01725
19,20,44092.1,226.8,0.000726205,0.00542,0.02844,-0.06525,-0.01885
