,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,6484.0,1542.3,0.001922414,0.09761,-0.08206,-0.02742,0.30020
1,2,11951.5,836.7,0.000081917,0.00226,-0.02049,0.00537,-0.04252
2,3,19562.5,511.2,0.000028054,0.00047,0.01367,-0.01666,-0.00278
3,4,22869.4,437.3,0.019219649,0.27667,-0.48035,-0.21269,0.02646
4,5,23505.0,425.4,0.001855110,0.02598,-0.08432,-0.12899,0.04726
5,6,24050.3,415.8,0.006683180,0.09148,0.16956,0.24224,0.06365
6,7,28454.1,351.4,0.009126169,0.10559,-0.17437,-0.27414,0.00563
7,8,29965.6,333.7,0.000181942,0.00200,0.04138,0.01633,-0.00447
8,9,30715.6,325.6,0.000480895,0.00515,-0.01917,0.00141,0.06917
9,10,30898.0,323.6,0.003868715,0.04122,0.06397,-0.00181,-0.19268
10,11,31714.0,315.3,0.006101386,0.06334,0.24109,0.03840,-0.06114
11,12,31926.8,313.2,0.309610844,3.19254,-1.78235,0.07983,0.09697
12,13,32577.6,307.0,0.000765788,0.00774,-0.03233,0.08181,0.00065
13,14,32945.5,303.5,0.055686239,0.55645,0.74539,0.02674,-0.01147
14,15,33169.6,301.5,0.046529216,0.46181,-0.67587,0.05424,0.04550
15,16,35575.5,281.1,0.047719513,0.44159,-0.65913,0.02575,0.08049
16,17,36951.8,270.6,0.000526986,0.00470,-0.03094,0.05916,0.01541
17,18,37590.9,266.0,0.000749274,0.00656,0.07788,-0.01810,0.01300
18,19,37745.9,264.9,0.002713471,0.02367,-0.13925,-0.03958,-0.05204
19,20,38868.2,257.3,0.000365626,0.00310,0.03155,0.03107,-0.03370
