,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,9475.2,1055.4,0.000010359,0.00036,-0.01491,-0.00677,-0.00957
1,2,9890.2,1011.1,0.003847213,0.12806,0.07400,0.33237,-0.11007
2,3,16680.2,599.5,0.012075200,0.23832,-0.06203,-0.41475,0.24992
3,4,18053.6,553.9,0.007000087,0.12765,-0.33782,-0.04472,-0.10735
4,5,22748.4,439.6,0.001214850,0.01758,0.06976,0.00361,0.11270
5,6,27893.7,358.5,0.003022581,0.03567,-0.15124,0.03019,-0.10903
6,7,28529.9,350.5,0.043725652,0.50456,-0.40091,0.07381,-0.58171
7,8,28636.2,349.2,0.168899415,1.94172,-0.78894,0.11819,-1.14251
8,9,30298.9,330.0,0.248082973,2.69554,-0.91441,0.16431,-1.35366
9,10,30863.9,324.0,0.044165232,0.47109,-0.34373,0.04672,-0.59225
10,11,31491.5,317.5,0.000085353,0.00089,0.01222,-0.00134,0.02722
11,12,31664.7,315.8,0.001509934,0.01570,0.04417,-0.00255,0.11722
12,13,33640.0,297.3,0.000016721,0.00016,-0.01009,-0.00091,-0.00781
13,14,36196.9,276.3,0.012365210,0.11246,-0.01845,-0.05613,-0.33011
14,15,36302.1,275.5,0.000085786,0.00078,0.01473,-0.01705,0.01644
15,16,36342.7,275.2,0.002449726,0.02219,0.08507,-0.03774,-0.11632
16,17,36602.1,273.2,0.037456957,0.33690,0.22956,-0.06151,0.52955
17,18,37757.3,264.8,0.005026250,0.04382,-0.10771,0.05705,-0.17020
18,19,37978.7,263.3,0.000573287,0.00497,0.05109,-0.01278,0.04686
19,20,38497.4,259.8,0.031333613,0.26795,0.25812,-0.10514,0.43620
