,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,9067.0,1102.9,0.003222077,0.11699,-0.09667,0.32533,0.04250
1,2,12333.6,810.8,0.003425398,0.09143,-0.24645,-0.08952,-0.15060
2,3,16196.4,617.4,0.000319681,0.00650,-0.00547,-0.00835,0.07999
3,4,20003.5,499.9,0.071781135,1.18136,0.13546,-1.05358,-0.23018
4,5,26198.0,381.7,0.009577599,0.12035,-0.34633,0.01639,0.01179
5,6,26492.0,377.5,0.012917540,0.16052,-0.30747,0.25685,-0.00372
6,7,26733.7,374.1,0.006654005,0.08194,-0.22781,0.15221,-0.08292
7,8,27226.5,367.3,0.000794601,0.00961,0.08421,-0.04739,0.01645
8,9,27687.5,361.2,0.007610931,0.09050,0.19179,-0.23118,0.01638
9,10,30471.5,328.2,0.362801682,3.91968,-1.27334,1.50388,-0.19140
10,11,31160.3,320.9,0.012419729,0.13122,0.02924,0.34220,0.11514
11,12,31784.9,314.6,0.000657282,0.00681,0.05725,-0.05648,0.01846
12,13,31838.6,314.1,0.004860215,0.05025,-0.07031,0.21251,0.01232
13,14,32451.6,308.2,0.002633356,0.02671,-0.08318,0.12849,-0.05731
14,15,32645.8,306.3,0.003901465,0.03934,-0.11669,0.15980,-0.01389
15,16,34370.3,290.9,0.018369918,0.17595,0.19666,-0.36540,0.06136
16,17,34836.3,287.1,0.001508744,0.01426,0.03281,0.10983,-0.03345
17,18,35060.6,285.2,0.020000154,0.18780,-0.35606,0.23202,0.08479
18,19,35334.2,283.0,0.003979534,0.03708,0.14014,-0.13156,0.01146
19,20,35827.7,279.1,0.000196969,0.00181,-0.01361,0.03609,-0.01795
