,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,7464.9,1339.6,0.000045028,0.00199,0.00846,0.04345,-0.00515
1,2,8299.1,1205.0,0.000136100,0.00540,0.03255,-0.06585,-0.00159
2,3,20167.6,495.8,0.005333081,0.08706,-0.00595,0.01753,0.29447
3,4,21346.6,468.5,0.000011887,0.00018,0.00422,0.00276,0.01257
4,5,23293.4,429.3,0.000200957,0.00284,0.04017,-0.01070,0.03335
5,6,24180.1,413.6,0.060642514,0.82565,-0.03824,0.07409,0.90482
6,7,26454.0,378.0,0.006962429,0.08665,-0.02517,0.05868,-0.28735
7,8,28924.3,345.7,0.000314990,0.00359,-0.04707,-0.03693,0.00249
8,9,29114.3,343.5,0.001921794,0.02173,0.13376,0.06197,0.00017
9,10,29281.6,341.5,0.000151465,0.00170,0.02407,0.03301,-0.00581
10,11,29994.0,333.4,0.000024030,0.00026,-0.01562,-0.00359,-0.00265
11,12,31832.7,314.1,0.004756652,0.04919,-0.21022,0.06721,-0.02198
12,13,32706.3,305.8,0.001143122,0.01151,0.08825,-0.00122,-0.06096
13,14,33415.1,299.3,0.000658801,0.00649,-0.07737,-0.00103,0.02243
14,15,33781.8,296.0,0.004862863,0.04739,0.10370,0.12771,-0.14256
15,16,35807.2,279.3,0.000421087,0.00387,0.05139,0.02871,-0.02016
16,17,36018.9,277.6,0.000894906,0.00818,0.05808,0.06932,-0.00072
17,18,36315.9,275.4,0.019120811,0.17333,0.06195,-0.17762,-0.37142
18,19,39138.6,255.5,0.000076346,0.00064,0.01499,-0.01845,-0.00878
19,20,39438.0,253.6,0.002961317,0.02472,0.03082,0.13787,0.06900
