,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,7485.8,1335.9,0.000003181,0.00014,-0.00001,0.01183,0.00000
1,2,13119.8,762.2,0.002648881,0.06647,0.00002,0.25781,0.00000
2,3,18736.5,533.7,0.000000000,0.00000,0.00001,0.00001,0.00001
3,4,19979.0,500.5,0.033311267,0.54890,0.74088,0.00006,0.00002
4,5,25328.4,394.8,0.003267733,0.04247,-0.00035,0.00000,0.20609
5,6,26287.0,380.4,0.000000011,0.00000,0.00000,-0.00002,-0.00038
6,7,31464.2,317.8,0.027654022,0.28935,-0.53791,-0.00004,-0.00001
7,8,31949.9,313.0,0.000000003,0.00000,-0.00001,0.00000,-0.00018
8,9,32086.3,311.7,0.003804811,0.03904,-0.00062,0.00000,0.19758
9,10,32932.9,303.6,0.000039031,0.00039,0.00016,-0.00000,0.01975
10,11,33147.7,301.7,0.000000003,0.00000,-0.00000,0.00000,-0.00016
11,12,34595.0,289.1,0.000036410,0.00035,-0.00034,0.00000,-0.01861
12,13,36676.6,272.7,0.679035501,6.09507,2.46882,0.00016,0.00018
13,14,37751.3,264.9,0.002003686,0.01747,-0.00093,-0.00000,0.13218
14,15,39984.0,250.1,0.000000001,0.00000,-0.00000,-0.00006,0.00002
15,16,42004.6,238.1,0.005108627,0.04004,-0.00023,0.00000,0.20010
16,17,44196.7,226.3,0.001576835,0.01175,0.10838,0.00001,-0.00001
17,18,47079.3,212.4,0.000025799,0.00018,-0.01343,0.00003,0.00001
18,19,48512.7,206.1,0.001076871,0.00731,-0.00058,-0.00000,-0.08548
19,20,48828.1,204.8,0.024586486,0.16577,-0.40715,-0.00007,0.00015
