,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,3328.0,3004.8,0.000000000,0.00000,0.00000,0.00000,-0.00000
1,2,9083.6,1100.9,0.000000376,0.00001,0.00000,0.00000,-0.00369
2,3,13220.1,756.4,0.000000000,0.00000,0.00000,-0.00001,0.00000
3,4,17842.2,560.5,0.002316405,0.04274,-0.00004,-0.20674,0.00002
4,5,17981.7,556.1,0.000822952,0.01507,0.00057,-0.00004,-0.12275
5,6,18323.9,545.7,0.161483278,2.90124,1.70330,-0.00002,0.00004
6,7,20173.6,495.7,0.050673131,0.82693,0.90936,0.00002,0.00001
7,8,26106.1,383.1,0.000694747,0.00876,-0.00001,0.00000,-0.09360
8,9,26301.0,380.2,0.004323380,0.05412,0.00001,0.23263,0.00000
9,10,27215.2,367.4,0.035028153,0.42372,0.65094,-0.00003,0.00001
10,11,31602.8,316.4,0.001062965,0.01107,0.10523,0.00015,-0.00000
11,12,35329.3,283.1,0.000000001,0.00000,0.00006,-0.00003,0.00001
12,13,35439.1,282.2,0.011873501,0.11030,-0.33211,-0.00014,0.00009
13,14,35543.3,281.3,0.075129948,0.69587,-0.83419,-0.00023,0.00008
14,15,35821.8,279.2,0.067161352,0.61723,0.00016,-0.78564,-0.00001
15,16,36590.7,273.3,0.000000000,0.00000,0.00000,0.00001,-0.00000
16,17,38508.0,259.7,0.059997041,0.51293,0.00009,-0.00002,0.71619
17,18,39616.1,252.4,0.040844368,0.33942,-0.58260,0.00001,-0.00000
18,19,40743.8,245.4,0.004878077,0.03942,-0.00159,-0.19853,-0.00002
19,20,40764.2,245.3,0.003093511,0.02498,0.15805,-0.00203,-0.00001
