,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,14797.5,675.8,0.000143699,0.00320,-0.00001,-0.00000,-0.05654
1,2,24012.5,416.4,0.001202421,0.01649,-0.00000,-0.00000,0.12839
2,3,24091.1,415.1,0.018880426,0.25801,-0.00001,-0.00000,-0.50794
3,4,29614.6,337.7,0.057742421,0.64190,0.79366,0.10953,-0.00001
4,5,30755.7,325.1,0.000077558,0.00083,-0.00001,-0.00000,0.02881
5,6,32600.9,306.7,0.000000570,0.00001,0.00000,-0.00000,0.00240
6,7,34536.5,289.5,0.001635729,0.01559,-0.00000,0.00000,-0.12487
7,8,35214.0,284.0,0.002222248,0.02078,0.14137,-0.02812,-0.00000
8,9,37654.2,265.6,0.001029043,0.00900,0.00000,-0.00001,0.09485
9,10,39253.8,254.8,0.002676687,0.02245,-0.00000,-0.00000,0.14983
10,11,39487.2,253.2,0.000000528,0.00000,0.00000,-0.00000,-0.00210
11,12,40512.7,246.8,0.003569747,0.02901,0.00001,0.00001,0.17032
12,13,45686.0,218.9,0.031610210,0.22778,0.03817,0.47574,-0.00000
13,14,46802.6,213.7,0.003498459,0.02461,-0.00001,0.00000,-0.15687
14,15,48293.1,207.1,0.039528413,0.26946,-0.34858,0.38465,-0.00000
15,16,49920.8,200.3,0.000022674,0.00015,-0.01222,0.00032,-0.00000
16,17,50432.0,198.3,0.000360109,0.00235,-0.00000,-0.00000,0.04848
17,18,51297.6,194.9,0.000229883,0.00148,0.00001,-0.00000,0.03841
18,19,52966.1,188.8,0.048393651,0.30079,0.50748,0.20798,-0.00020
19,20,53008.3,188.6,0.002501308,0.01553,-0.00082,-0.00034,-0.12463
