,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,8583.0,1165.1,0.000566037,0.02171,0.09207,0.11504,-0.00034
1,2,14606.6,684.6,0.001013110,0.02283,-0.00046,-0.00036,0.15111
2,3,16363.6,611.1,0.002817143,0.05668,-0.13731,-0.02691,0.19261
3,4,16369.7,610.9,0.028367402,0.57050,-0.73925,-0.15065,-0.03622
4,5,22427.3,445.9,0.000389102,0.00571,0.00065,-0.00115,-0.07556
5,6,25619.0,390.3,0.000453288,0.00582,-0.00108,0.00053,-0.07631
6,7,28433.1,351.7,0.000380735,0.00441,0.00113,0.00099,0.06638
7,8,31581.6,316.6,0.000124051,0.00129,0.00356,-0.00147,-0.03575
8,9,35494.0,281.7,0.042765805,0.39666,-0.60535,0.17382,-0.00043
9,10,36624.2,273.0,0.002159082,0.01941,0.01046,-0.00004,0.13892
10,11,38132.1,262.2,0.002963935,0.02559,-0.00312,-0.00136,-0.15993
11,12,38954.5,256.7,0.002259156,0.01909,-0.00395,0.00104,0.13812
12,13,39364.2,254.0,0.000453039,0.00379,-0.00030,-0.00046,-0.06155
13,14,40770.7,245.3,0.002520233,0.02035,0.12626,-0.06635,-0.00253
14,15,41385.4,241.6,0.000937279,0.00746,0.00321,0.00488,-0.08615
15,16,44479.5,224.8,0.024017848,0.17777,0.42153,0.00892,-0.00127
16,17,45758.4,218.5,0.110754077,0.79683,-0.89165,-0.04232,0.00014
17,18,46041.5,217.2,0.001096672,0.00784,0.03764,0.00263,0.08011
18,19,46423.3,215.4,0.143501823,1.01765,1.00050,0.12898,-0.00169
19,20,47305.0,211.4,0.000073772,0.00051,0.02161,-0.00018,0.00680
