,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,4216.4,2371.7,0.000008507,0.00066,-0.00079,0.01539,0.02066
1,2,9558.3,1046.2,0.000098011,0.00338,0.01158,-0.01679,-0.05440
2,3,12508.4,799.5,0.003421332,0.09005,-0.12646,0.24075,-0.12686
3,4,20898.5,478.5,0.001284714,0.02024,-0.13544,0.04161,-0.01269
4,5,26134.8,382.6,0.022539827,0.28393,-0.51101,0.10789,-0.10563
5,6,28243.0,354.1,0.000064317,0.00075,-0.01282,-0.01025,-0.02192
6,7,29102.7,343.6,0.000982357,0.01111,-0.02799,0.07705,-0.06628
7,8,33849.3,295.4,0.000859021,0.00835,-0.01111,0.07176,0.05551
8,9,34713.0,288.1,0.007831892,0.07428,-0.22495,-0.01156,0.15343
9,10,35781.7,279.5,0.003054955,0.02811,-0.14127,-0.06269,-0.06496
10,11,35916.9,278.4,0.001160761,0.01064,-0.02317,0.09741,-0.02476
11,12,36538.6,273.7,0.007399286,0.06667,-0.03429,-0.24806,0.06293
12,13,38087.0,262.6,0.011441753,0.09890,0.31275,-0.03153,-0.00951
13,14,39671.1,252.1,0.005359846,0.04448,0.20226,0.05975,-0.00055
14,15,41131.8,243.1,0.003516714,0.02815,0.08004,-0.12626,0.07615
15,16,41831.5,239.1,0.000810876,0.00638,-0.04424,-0.05541,-0.03681
16,17,43396.9,230.4,0.004714484,0.03576,0.12168,0.14231,-0.02657
17,18,43812.1,228.2,0.012718539,0.09557,0.26472,0.15607,-0.03369
18,19,45191.1,221.3,0.000687970,0.00501,0.05156,0.04838,0.00362
19,20,45707.7,218.8,0.008800668,0.06339,0.10910,-0.22336,-0.03997
