,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,16852.8,593.4,0.002497932,0.04880,-0.14944,-0.16258,-0.00570
1,2,22725.8,440.0,0.003010917,0.04362,-0.19471,0.07429,-0.01367
2,3,24239.2,412.6,0.022246076,0.30214,0.46378,0.29454,0.01729
3,4,25616.9,390.4,0.011097972,0.14262,0.36776,0.07983,0.03167
4,5,27154.5,368.3,0.000330173,0.00400,0.00231,0.05780,-0.02562
5,6,30594.3,326.9,0.000064191,0.00069,0.01440,0.01242,-0.01814
6,7,32212.2,310.4,0.000038827,0.00040,0.01154,0.01514,0.00585
7,8,34678.5,288.4,0.014983734,0.14224,0.16715,-0.28219,-0.18622
8,9,35361.7,282.8,0.000018419,0.00017,-0.00280,-0.01267,-0.00179
9,10,36081.7,277.1,0.010466256,0.09549,-0.25368,-0.14653,-0.09834
10,11,37895.2,263.9,0.000127672,0.00111,-0.01681,-0.02715,-0.00947
11,12,38429.4,260.2,0.000143931,0.00123,0.01088,0.02585,-0.02113
12,13,39798.9,251.3,0.014949559,0.12366,-0.10683,-0.31973,-0.10011
13,14,40520.7,246.8,0.001138794,0.00925,-0.04312,0.06912,-0.05114
14,15,42105.3,237.5,0.019293902,0.15085,0.19778,0.23927,0.23343
15,16,43167.5,231.7,0.006823758,0.05204,0.14804,0.05155,0.16573
16,17,45390.2,220.3,0.004002174,0.02903,0.11767,0.11928,-0.03090
17,18,46042.3,217.2,0.238735821,1.70701,-1.16225,0.53386,-0.26681
18,19,46244.6,216.2,0.004775613,0.03400,0.01525,0.14080,-0.11806
19,20,47154.2,212.1,0.000425063,0.00297,0.00265,-0.03223,0.04384
