,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,4414.0,2265.5,0.132834607,9.90737,0.00060,2.49989,1.91257
1,2,4482.0,2231.2,0.131963733,9.69307,-0.00097,-1.89297,2.47179
2,3,5868.0,1704.1,0.109791677,6.15960,2.48185,-0.00153,0.00070
3,4,8468.9,1180.8,0.000115524,0.00449,-0.00021,-0.03657,-0.05616
4,5,11698.8,854.8,0.022968853,0.64636,-0.00001,-0.52656,-0.60753
5,6,11770.8,849.6,0.025759556,0.72046,0.00010,0.63521,-0.56300
6,7,12412.5,805.6,0.000003168,0.00008,-0.00914,-0.00065,-0.00028
7,8,12471.0,801.9,0.000000351,0.00001,-0.00258,0.00128,-0.00097
8,9,16739.4,597.4,0.000015585,0.00031,-0.00004,0.00820,0.01547
9,10,20510.6,487.6,0.132072226,2.11987,-1.45598,0.00009,-0.00007
10,11,24360.3,410.5,0.000005827,0.00008,0.00014,0.00817,-0.00347
11,12,24959.5,400.6,0.000007491,0.00010,-0.00993,-0.00039,-0.00030
12,13,25094.4,398.5,0.000003606,0.00005,-0.00688,-0.00004,0.00009
13,14,26555.5,376.6,0.013666052,0.16942,0.00002,0.28201,-0.29982
14,15,26610.8,375.8,0.013423757,0.16607,0.00014,0.29606,0.28003
15,16,28972.2,345.2,0.000098591,0.00112,0.00027,0.02065,-0.02634
16,17,29098.0,343.7,0.000056814,0.00064,-0.00023,0.01835,0.01749
17,18,29763.6,336.0,0.000040219,0.00044,0.02109,-0.00008,-0.00010
18,19,30840.7,324.2,0.000826085,0.00882,-0.09390,-0.00006,-0.00001
19,20,30850.0,324.1,0.000225103,0.00240,-0.04901,-0.00000,-0.00002
