,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,11933.3,838.0,0.015970790,0.44060,0.25838,-0.61142,-0.00122
1,2,15896.5,629.1,0.002613508,0.05412,-0.00197,-0.00114,0.23264
2,3,17490.7,571.7,0.001103648,0.02077,0.01221,-0.14361,-0.00005
3,4,19639.2,509.2,0.000041743,0.00070,0.00009,-0.00049,-0.02645
4,5,21691.8,461.0,0.000037234,0.00057,-0.00101,-0.00171,-0.02369
5,6,24270.6,412.0,0.000451323,0.00612,-0.00178,-0.00185,0.07820
6,7,24867.6,402.1,0.001593904,0.02110,-0.09667,0.10843,0.00034
7,8,25519.5,391.9,0.000025423,0.00033,0.00060,0.00039,0.01810
8,9,29861.6,334.9,0.006293233,0.06938,-0.00008,-0.00071,0.26340
9,10,30437.3,328.5,0.003374362,0.03650,-0.00046,-0.00044,0.19104
10,11,32868.1,304.2,0.001677343,0.01680,0.00126,-0.00436,0.12954
11,12,34243.1,292.0,0.015985851,0.15369,-0.05936,0.38749,0.00344
12,13,35034.4,285.4,0.000261096,0.00245,-0.00416,0.00731,-0.04881
13,14,36979.0,270.4,0.000021112,0.00019,0.00115,-0.00282,0.01337
14,15,37703.0,265.2,0.004821209,0.04210,-0.17798,-0.10209,0.00073
15,16,38141.9,262.2,0.000055870,0.00048,0.00131,-0.00587,-0.02112
16,17,40050.5,249.7,0.000318617,0.00262,0.00253,0.00165,-0.05109
17,18,41548.4,240.7,0.000200646,0.00159,-0.00698,-0.00494,0.03894
18,19,42032.9,237.9,0.029138473,0.22822,0.45488,0.14579,0.00725
19,20,42496.1,235.3,0.001467175,0.01137,-0.00190,-0.00353,0.10654
