,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,3967.7,2520.3,0.000008687,0.00072,-0.01480,-0.00243,0.02227
1,2,18035.2,554.5,0.013313474,0.24302,-0.29629,0.05490,-0.39015
2,3,21131.7,473.2,0.000195317,0.00304,0.05156,0.01858,-0.00623
3,4,21421.3,466.8,0.005417027,0.08325,-0.16515,0.14510,-0.18688
4,5,24161.4,413.9,0.002563216,0.03493,-0.05385,-0.06205,-0.16785
5,6,28094.5,355.9,0.000769642,0.00902,-0.06381,-0.06334,-0.03058
6,7,29117.1,343.4,0.004139481,0.04680,0.01672,-0.07203,0.20331
7,8,29771.4,335.9,0.004322671,0.04780,-0.12780,0.07753,-0.15955
8,9,31061.8,321.9,0.021360230,0.22639,-0.18176,-0.04584,-0.43732
9,10,31418.9,318.3,0.000964161,0.01010,0.01321,-0.03764,0.09226
10,11,31871.7,313.8,0.001062001,0.01097,-0.03912,0.00993,0.09665
11,12,32388.8,308.7,0.007066762,0.07183,-0.22470,0.01303,0.14550
12,13,32841.7,304.5,0.003106948,0.03114,-0.04041,-0.07190,-0.15602
13,14,33010.1,302.9,0.067895726,0.67713,0.34443,0.22552,0.71249
14,15,33460.6,298.9,0.000056005,0.00055,-0.02163,-0.00590,-0.00694
15,16,34627.9,288.8,0.001981601,0.01884,0.05213,0.01860,0.12560
16,17,35349.4,282.9,0.010923132,0.10173,0.11015,0.11562,0.27609
17,18,35759.8,279.6,0.001517372,0.01397,0.00962,-0.11675,-0.01573
18,19,36664.6,272.7,0.010305396,0.09253,0.10944,0.07673,0.27325
19,20,37472.5,266.9,0.005633168,0.04949,-0.05129,-0.08171,-0.20045
