,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,9176.3,1089.8,0.000023631,0.00085,0.02436,0.00153,-0.01587
1,2,16144.8,619.4,0.017450354,0.35583,-0.46673,0.36344,0.07689
2,3,17636.0,567.0,0.003028356,0.05653,-0.18119,0.14984,0.03534
3,4,22379.9,446.8,0.000275611,0.00405,0.02403,0.04718,-0.03537
4,5,25113.8,398.2,0.006187822,0.08112,0.18554,0.02268,-0.21488
5,6,26552.3,376.6,0.000665350,0.00825,0.04543,0.01651,-0.07690
6,7,28590.4,349.8,0.006569174,0.07564,-0.17008,0.21613,0.00094
7,8,31673.5,315.7,0.001817675,0.01889,-0.08141,0.06405,-0.09036
8,9,32230.7,310.3,0.007415366,0.07574,0.22719,-0.13602,0.07499
9,10,33769.2,296.1,0.010678856,0.10411,-0.25284,-0.20044,0.00110
10,11,33982.7,294.3,0.007178562,0.06954,0.09492,-0.17733,-0.17056
11,12,34960.6,286.0,0.000921457,0.00868,0.09223,-0.01174,0.00568
12,13,35563.7,281.2,0.007583399,0.07020,-0.15011,0.12822,0.17671
13,14,37965.7,263.4,0.008072271,0.07000,-0.09944,0.06065,0.23755
14,15,38814.4,257.6,0.003277972,0.02780,-0.05593,-0.15698,-0.00563
15,16,40175.0,248.9,0.004570899,0.03746,0.16216,-0.02589,-0.10242
16,17,41592.3,240.4,0.004036255,0.03195,-0.12449,0.12739,0.01486
17,18,41912.5,238.6,0.001656151,0.01301,0.05566,-0.09469,-0.03074
18,19,43178.0,231.6,0.000519792,0.00396,0.00266,0.02105,0.05927
19,20,44270.5,225.9,0.001619979,0.01205,-0.10599,-0.02148,0.01873
