,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,205.9,48562.5,0.000014027,0.02243,0.13611,-0.03565,-0.05127
1,2,12076.4,828.1,0.007943034,0.21653,-0.37972,0.19768,0.18240
2,3,18886.2,529.5,0.001891998,0.03298,-0.12201,-0.13353,-0.01617
3,4,19914.1,502.2,0.010753426,0.17777,-0.41809,0.04157,0.03529
4,5,20519.7,487.3,0.006794967,0.10902,-0.32829,-0.03500,0.00450
5,6,25011.1,399.8,0.150164605,1.97656,-1.16367,0.55477,0.56094
6,7,28805.4,347.2,0.011250584,0.12858,-0.30291,0.12754,0.14339
7,8,30479.0,328.1,0.000251402,0.00272,0.03469,0.02030,-0.03317
8,9,30660.4,326.2,0.009346896,0.10036,0.30724,-0.03472,-0.06898
9,10,32597.0,306.8,0.003392638,0.03426,0.18235,0.00066,-0.03182
10,11,36084.2,277.1,0.004837241,0.04413,0.15415,-0.12071,-0.07616
11,12,36221.3,276.1,0.010211876,0.09281,0.19938,-0.12452,-0.19379
12,13,36940.6,270.7,0.089988951,0.80198,-0.51312,0.50157,0.53583
13,14,37935.9,263.6,0.021238829,0.18431,0.33328,0.24404,0.11699
14,15,40467.4,247.1,0.030075322,0.24467,0.09020,0.45623,0.16849
15,16,41195.3,242.7,0.019903993,0.15906,-0.11369,0.10109,-0.36867
16,17,41644.6,240.1,0.011118650,0.08790,0.06715,0.05145,0.28415
17,18,43162.5,231.7,0.005053213,0.03854,0.11272,-0.08461,-0.13667
18,19,43826.4,228.2,0.019011451,0.14281,0.24242,-0.23900,-0.16407
19,20,44985.0,222.3,0.002511611,0.01838,0.10225,-0.08497,-0.02656
