,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,1414.0,7072.2,0.000142313,0.03313,0.02366,-0.13745,-0.11697
1,2,8281.2,1207.6,0.000912319,0.03627,0.00434,0.13224,0.13697
2,3,14756.2,677.7,0.000539670,0.01204,-0.08972,0.02757,0.05684
3,4,19747.9,506.4,0.001303959,0.02174,-0.02966,0.02243,0.14267
4,5,20722.1,482.6,0.000191142,0.00304,-0.02860,0.00989,0.04605
5,6,22584.6,442.8,0.000676537,0.00986,-0.05058,-0.06641,0.05378
6,7,22891.5,436.8,0.001002951,0.01442,-0.06810,-0.04264,0.08926
7,8,24442.0,409.1,0.175287753,2.36097,0.84474,-0.69819,1.07700
8,9,25669.5,389.6,0.010289366,0.13196,-0.33721,-0.09150,0.09939
9,10,26797.8,373.2,0.004016404,0.04934,-0.12944,-0.13702,-0.11753
10,11,27345.9,365.7,0.011400108,0.13724,-0.05915,0.16565,-0.32604
11,12,28580.6,349.9,0.007238865,0.08338,-0.15060,-0.14126,-0.20186
12,13,29537.9,338.5,0.004252930,0.04740,-0.14937,0.15835,0.00393
13,14,30451.1,328.4,0.001047462,0.01132,-0.09482,-0.03911,-0.02835
14,15,31119.2,321.3,0.000210604,0.00223,-0.02648,0.01960,-0.03380
15,16,31983.1,312.7,0.004871209,0.05014,-0.04772,0.19342,0.10224
16,17,32196.1,310.6,0.007675725,0.07849,0.01531,0.12300,0.25124
17,18,33282.6,300.5,0.002907298,0.02876,0.00434,0.12804,0.11111
18,19,34023.7,293.9,0.003189923,0.03087,0.08751,0.14193,0.05534
19,20,34666.9,288.5,0.001726464,0.01640,-0.06419,-0.00178,0.11078
