,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,5953.8,1679.6,0.000077828,0.00430,0.04096,-0.04999,-0.01125
1,2,12021.4,831.8,0.005278511,0.14455,0.01852,0.29924,-0.23380
2,3,20020.7,499.5,0.000418997,0.00689,0.00337,0.01098,-0.08221
3,4,23707.2,421.8,0.093651367,1.30050,-0.30465,0.94864,-0.55477
4,5,25337.3,394.7,0.006026975,0.07831,-0.05128,0.26920,-0.05669
5,6,25673.3,389.5,0.002325604,0.02982,-0.02876,0.14643,-0.08690
6,7,26987.0,370.5,0.006763241,0.08250,-0.24742,0.03487,-0.14168
7,8,28084.6,356.1,0.002625835,0.03078,-0.15502,0.01359,-0.08103
8,9,29727.7,336.4,0.002212314,0.02450,-0.00710,-0.02063,-0.15500
9,10,30985.7,322.7,0.001340323,0.01424,-0.00153,0.06629,0.09922
10,11,31626.3,316.2,0.012156623,0.12654,0.08887,0.32373,0.11767
11,12,32409.7,308.5,0.005621173,0.05710,0.10170,-0.10044,0.19149
12,13,33596.4,297.7,0.024220035,0.23733,0.20886,-0.42109,0.12805
13,14,35009.2,285.6,0.012406931,0.11667,-0.14231,0.31020,-0.01395
14,15,35262.6,283.6,0.003096641,0.02891,0.15653,-0.05054,-0.04305
15,16,35855.8,278.9,0.026521190,0.24351,-0.27745,0.39043,-0.11871
16,17,36548.2,273.6,0.003045042,0.02743,-0.11193,-0.12140,0.01275
17,18,37264.2,268.4,0.004508813,0.03983,-0.12696,0.13481,-0.07442
18,19,37677.4,265.4,0.004463638,0.03900,0.14604,0.12380,0.04844
19,20,37960.4,263.4,0.001591195,0.01380,0.08934,0.04657,-0.06040
