,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,5521.4,1811.1,0.000376577,0.02245,0.14198,-0.01809,0.04435
1,2,8530.0,1172.3,0.000010696,0.00041,-0.01840,-0.00760,0.00404
2,3,14504.0,689.5,0.009197159,0.20876,0.41289,0.15443,0.12012
3,4,20245.9,493.9,0.000142732,0.00232,-0.04383,-0.01592,-0.01210
4,5,22154.4,451.4,0.001464486,0.02176,0.02523,0.13594,-0.05145
5,6,23497.7,425.6,0.014033514,0.19662,-0.11789,-0.42710,-0.01729
6,7,24593.4,406.6,0.002276098,0.03047,0.16241,0.04663,-0.04379
7,8,24793.2,403.3,0.013553624,0.17997,-0.36822,-0.21067,0.00226
8,9,29229.7,342.1,0.008413723,0.09476,0.25448,-0.14226,-0.09882
9,10,31070.9,321.8,0.303231289,3.21288,1.51603,-0.60899,0.73734
10,11,33375.6,299.6,0.001281213,0.01264,0.10533,-0.03832,-0.00870
11,12,33617.8,297.5,0.000015921,0.00016,0.01209,-0.00307,-0.00047
12,13,35880.7,278.7,0.000968504,0.00889,0.05575,-0.02542,0.07164
13,14,36382.0,274.9,0.007339938,0.06642,-0.23435,0.10431,-0.02486
14,15,36740.9,272.2,0.001902894,0.01705,0.11831,-0.03451,0.04316
15,16,38714.0,258.3,0.000553869,0.00471,0.04548,0.03586,0.03682
16,17,39102.5,255.7,0.031308257,0.26359,0.46420,-0.12583,0.17966
17,18,39222.7,255.0,0.075506403,0.63376,-0.70926,0.17586,-0.31588
18,19,39548.6,252.9,0.000831971,0.00693,0.06229,-0.03504,0.04264
19,20,40252.3,248.4,0.000766499,0.00627,-0.04920,0.06134,0.00922
