,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,4764.7,2098.8,0.000298429,0.02062,-0.09437,0.10365,0.03114
1,2,8572.8,1166.5,0.000027572,0.00106,-0.01803,0.02656,-0.00529
2,3,15287.4,654.1,0.009502477,0.20463,0.30311,-0.13642,0.30684
3,4,21475.5,465.6,0.000106327,0.00163,0.01944,-0.03470,0.00693
4,5,21996.3,454.6,0.011288558,0.16895,0.02730,0.37491,0.16629
5,6,23087.6,433.1,0.000599956,0.00855,0.02937,0.05264,-0.07015
6,7,24324.4,411.1,0.016461090,0.22279,-0.10872,0.08107,-0.45210
7,8,26365.9,379.3,0.006481494,0.08093,-0.17616,0.07284,-0.21117
8,9,31217.9,320.3,0.305216548,3.21869,1.21314,-1.29954,0.24123
9,10,33645.1,297.2,0.000238730,0.00234,0.04543,0.00816,-0.01434
10,11,35843.5,279.0,0.021176319,0.19450,0.29089,-0.29869,0.14376
11,12,36252.7,275.8,0.005121131,0.04651,0.14154,-0.14780,0.06803
12,13,36553.7,273.6,0.000818446,0.00737,-0.04559,0.07270,-0.00266
13,14,37836.0,264.3,0.000986783,0.00859,0.08052,-0.00147,-0.04583
14,15,38897.8,257.1,0.006328897,0.05356,-0.18473,-0.05566,0.12784
15,16,40096.3,249.4,0.132247476,1.08582,0.69468,-0.75677,0.17474
16,17,41482.6,241.1,0.006002819,0.04764,0.01016,-0.16224,-0.14565
17,18,42131.5,237.4,0.001094060,0.00855,0.08288,-0.04053,-0.00611
18,19,42373.2,236.0,0.000012004,0.00009,-0.00392,-0.00260,0.00843
19,20,43330.6,230.8,0.000131175,0.00100,-0.02929,0.00316,0.01134
