,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,12783.0,782.3,0.000010324,0.00027,0.01584,0.00171,-0.00345
1,2,21905.0,456.5,0.009282382,0.13951,0.15732,0.15331,0.30208
2,3,22175.0,451.0,0.101965210,1.51379,-0.49983,-0.51680,-0.99844
3,4,25284.1,395.5,0.015160381,0.19740,-0.02646,-0.25563,-0.36242
4,5,26486.7,377.5,0.010958839,0.13621,-0.12036,-0.27591,-0.21353
5,6,27525.0,363.3,0.000135329,0.00162,-0.03471,0.00384,0.01997
6,7,28242.3,354.1,0.000193577,0.00226,-0.01717,0.04072,0.01744
7,8,29632.4,337.5,0.000058153,0.00065,-0.00292,0.00577,0.02458
8,9,29701.1,336.7,0.000567321,0.00629,-0.02293,-0.01095,-0.07512
9,10,29813.7,335.4,0.002606856,0.02879,-0.05810,-0.10186,-0.12262
10,11,30250.3,330.6,0.001906671,0.02075,-0.07638,-0.03896,-0.11575
11,12,32099.4,311.5,0.002825485,0.02898,-0.09898,0.13250,-0.04032
12,13,33718.3,296.6,0.000507011,0.00495,0.01564,-0.03318,0.06004
13,14,33849.7,295.4,0.000110604,0.00108,0.00312,-0.02301,-0.02317
14,15,34448.1,290.3,0.017980133,0.17183,-0.10238,-0.28939,-0.27858
15,16,34486.1,290.0,0.003206473,0.03061,-0.03877,-0.12906,-0.11158
16,17,34564.0,289.3,0.014759520,0.14058,-0.15908,-0.20516,-0.27053
17,18,34992.1,285.8,0.018126483,0.17054,0.06711,0.37203,0.16622
18,19,35679.7,280.3,0.026100129,0.24082,0.24104,-0.13525,0.40550
19,20,36019.3,277.6,0.000401404,0.00367,0.02928,-0.02776,-0.04518
