,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,1719.7,5815.0,0.000166277,0.03183,0.09691,0.10053,0.11105
1,2,8928.9,1120.0,0.001063418,0.03921,0.13968,0.09946,0.09902
2,3,16085.3,621.7,0.001325562,0.02713,0.06234,0.08264,0.12812
3,4,20672.4,483.7,0.000398601,0.00635,0.07339,0.00891,0.02971
4,5,21247.5,470.6,0.000528103,0.00818,0.02404,0.06679,-0.05607
5,6,22246.5,449.5,0.000620435,0.00918,0.02162,-0.01452,0.09221
6,7,23541.3,424.8,0.002773124,0.03878,0.18484,0.05628,-0.03807
7,8,23791.9,420.3,0.072782130,1.00710,0.76601,-0.14114,-0.63278
8,9,24865.3,402.2,0.003229926,0.04276,0.01151,0.18802,0.08531
9,10,25668.9,389.6,0.084386525,1.08228,0.79180,0.01287,-0.67466
10,11,26047.0,383.9,0.004608190,0.05824,0.22777,-0.06934,-0.03946
11,12,26957.5,371.0,0.008028326,0.09804,0.10605,0.22449,-0.19080
12,13,27550.5,363.0,0.008855266,0.10582,-0.00216,-0.30718,0.10702
13,14,30036.8,332.9,0.013983316,0.15326,0.18911,-0.34215,-0.02077
14,15,30497.0,327.9,0.014022029,0.15137,-0.31842,-0.20541,0.08823
15,16,31619.6,316.3,0.001273901,0.01326,-0.08441,0.01407,0.07707
16,17,31942.1,313.1,0.013930955,0.14358,-0.14018,-0.12011,-0.33091
17,18,33075.8,302.3,0.000508633,0.00506,0.06474,0.02724,-0.01138
18,19,33107.0,302.1,0.000467845,0.00465,-0.04593,0.04984,0.00769
19,20,34256.7,291.9,0.004096641,0.03937,0.07882,-0.00026,0.18209
