,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,5511.9,1814.3,0.003045039,0.18187,-0.09937,0.41201,0.04739
1,2,6324.7,1581.1,0.005346710,0.27831,0.22096,-0.47903,0.00397
2,3,6372.3,1569.3,0.000643340,0.03324,0.01396,0.16116,0.08408
3,4,7062.6,1415.9,0.004001455,0.18652,0.15513,-0.40187,-0.03088
4,5,10847.1,921.9,0.002618444,0.07947,0.04099,-0.26983,-0.07058
5,6,11730.7,852.5,0.002065821,0.05798,0.07115,0.07535,0.21734
6,7,14540.8,687.7,0.002701455,0.06116,-0.22561,-0.09733,0.02809
7,8,17083.2,585.4,0.001722976,0.03320,0.11314,-0.06157,0.12889
8,9,17900.8,558.6,0.007213633,0.13267,0.00211,-0.21550,-0.29363
9,10,22045.7,453.6,0.039287258,0.58668,0.40919,0.32718,0.55875
10,11,22902.7,436.6,0.003947603,0.05674,0.20378,-0.12164,0.02054
11,12,24146.4,414.1,0.106805623,1.45619,-0.58127,-0.19218,-1.03989
12,13,24936.1,401.0,0.006403781,0.08454,0.05183,0.28032,0.05725
13,14,25237.2,396.2,0.120824013,1.57611,-0.91294,-0.64744,0.56874
14,15,25450.1,392.9,0.016454250,0.21285,-0.38566,-0.24946,-0.04332
15,16,27818.9,359.5,0.001866374,0.02209,0.10923,0.09945,0.01630
16,17,28252.6,353.9,0.000949274,0.01106,0.06139,-0.02097,-0.08278
17,18,29334.6,340.9,0.016465324,0.18478,0.06400,-0.14241,0.40051
18,19,30380.3,329.2,0.001199590,0.01300,0.06177,0.04439,0.08493
19,20,30636.6,326.4,0.002673711,0.02873,0.05341,-0.14745,0.06433
