,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,9963.8,1003.6,0.000008747,0.00029,0.00083,-0.00858,-0.01466
1,2,17237.7,580.1,0.005833970,0.11142,-0.19585,0.25817,-0.08005
2,3,17644.3,566.8,0.032464485,0.60573,-0.74425,0.19499,-0.11747
3,4,22269.8,449.0,0.002892831,0.04276,0.14885,-0.13414,0.05114
4,5,25961.3,385.2,0.076210264,0.96641,-0.66083,0.69045,-0.23020
5,6,27615.1,362.1,0.000000128,0.00000,-0.00121,0.00018,-0.00018
6,7,28501.9,350.9,0.000017047,0.00020,-0.01302,0.00468,-0.00231
7,8,28699.3,348.4,0.435009749,4.99003,2.04784,-0.80193,0.39151
8,9,29282.2,341.5,0.000000797,0.00001,0.00268,-0.00121,0.00056
9,10,31059.5,322.0,0.000206513,0.00219,0.00896,-0.00121,0.04590
10,11,32512.3,307.6,0.015029649,0.15219,-0.33092,0.19275,-0.07435
11,12,32566.4,307.1,0.000403615,0.00408,0.05443,-0.03120,0.01202
12,13,32918.5,303.8,0.000001286,0.00001,-0.00314,0.00163,-0.00061
13,14,33193.1,301.3,0.000138037,0.00137,0.03655,-0.00562,-0.00119
14,15,34096.5,293.3,0.000178508,0.00172,-0.01357,0.00297,-0.03912
15,16,34162.6,292.7,0.000047328,0.00046,0.01547,0.00143,0.01465
16,17,34995.6,285.7,0.406853597,3.82736,1.77598,-0.74724,0.33897
17,18,36265.1,275.7,0.000000820,0.00001,0.00012,-0.00266,0.00058
18,19,36883.4,271.1,0.000262181,0.00234,0.00797,0.01141,0.04633
19,20,37339.9,267.8,0.000282071,0.00249,0.04952,0.00047,0.00585
