,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,9241.5,1082.1,0.003409114,0.12144,0.09553,-0.18903,0.27674
1,2,11722.0,853.1,0.000004274,0.00012,0.01039,0.00097,-0.00333
2,3,12244.7,816.7,0.003320757,0.08928,0.13214,-0.26793,0.00576
3,4,19814.7,504.7,0.012178480,0.20234,-0.17170,-0.37018,0.18928
4,5,23327.4,428.7,0.112803892,1.59196,0.40856,-0.43599,1.11128
5,6,28104.5,355.8,0.001531078,0.01793,0.05693,0.06405,0.10292
6,7,29941.7,334.0,0.043906526,0.48276,0.11834,-0.28904,-0.62065
7,8,30341.9,329.6,0.106257381,1.15290,0.02130,-0.45519,-0.97224
8,9,30474.7,328.1,0.027593365,0.29809,0.02451,-0.21438,-0.50152
9,10,33227.8,301.0,0.002846325,0.02820,-0.01768,0.02818,0.16460
10,11,35161.8,284.4,0.001164581,0.01090,0.08315,0.03073,0.05519
11,12,35512.8,281.6,0.000124063,0.00115,-0.01100,0.00369,-0.03187
12,13,36006.5,277.7,0.000003497,0.00003,-0.00191,0.00063,-0.00529
13,14,36115.5,276.9,0.000139299,0.00127,-0.03193,-0.01499,0.00508
14,15,36872.8,271.2,0.000943517,0.00842,-0.04652,0.03759,0.06962
15,16,37690.5,265.3,0.040425915,0.35311,0.10347,-0.04080,0.58372
16,17,38313.1,261.0,0.000659097,0.00566,-0.06151,-0.04328,-0.00268
17,18,39129.8,255.6,0.000387684,0.00326,-0.00821,0.00662,-0.05613
18,19,39745.3,251.6,0.011145063,0.09232,0.04524,0.11346,0.27820
19,20,39778.3,251.4,0.006180563,0.05115,0.12833,-0.01203,-0.18584
