,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,6227.6,1605.8,0.000008346,0.00044,0.01620,0.00573,-0.01208
1,2,13382.1,747.3,0.004619684,0.11365,0.13783,-0.29436,0.08947
2,3,14622.1,683.9,0.000037740,0.00085,-0.00545,-0.02495,-0.01406
3,4,17593.6,568.4,0.001477111,0.02764,-0.07092,-0.12753,-0.07966
4,5,19295.6,518.3,0.000141093,0.00241,-0.01877,0.01285,0.04347
5,6,20403.6,490.1,0.003496986,0.05642,-0.11433,-0.19778,-0.06506
6,7,21451.6,466.2,0.000567109,0.00870,-0.07540,-0.04647,-0.02931
7,8,22677.4,441.0,0.066955482,0.97200,-0.67946,-0.70819,-0.09384
8,9,23809.1,420.0,0.000229836,0.00318,-0.02456,-0.04154,0.02914
9,10,26892.6,371.8,0.000898574,0.01100,-0.10310,0.00694,0.01796
10,11,27378.0,365.3,0.000070129,0.00084,-0.02174,-0.01059,-0.01607
11,12,27513.5,363.5,0.002682481,0.03210,0.16655,0.03604,0.05531
12,13,27847.7,359.1,0.000674498,0.00797,-0.06165,-0.03340,-0.05529
13,14,29248.2,341.9,0.000056561,0.00064,0.00988,-0.00597,0.02244
14,15,29553.1,338.4,0.004421948,0.04926,-0.06400,0.15583,0.14450
15,16,30162.6,331.5,0.011131149,0.12149,0.19205,0.29015,0.02050
16,17,31165.4,320.9,0.001094521,0.01156,-0.01721,-0.09643,-0.04435
17,18,32385.0,308.8,0.001459990,0.01484,0.01010,0.11057,0.05013
18,19,32438.9,308.3,0.001174410,0.01192,-0.00746,-0.09923,-0.04491
19,20,35775.7,279.5,0.000147846,0.00136,0.03555,-0.00381,-0.00906
