,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,6794.8,1471.7,0.001460387,0.07076,0.14148,-0.20763,0.08735
1,2,12015.9,832.2,0.001111297,0.03045,-0.09689,0.11635,0.08673
2,3,13765.1,726.5,0.017338222,0.41467,0.61305,-0.03808,-0.19335
3,4,14338.6,697.4,0.017190957,0.39470,0.13075,-0.43588,-0.43315
4,5,18846.3,530.6,0.000146472,0.00256,0.04917,0.00997,-0.00647
5,6,20641.5,484.5,0.000030362,0.00048,0.00847,-0.00067,-0.02030
6,7,21471.6,465.7,0.001921945,0.02947,-0.03584,0.15942,-0.05263
7,8,21778.9,459.2,0.009424364,0.14246,0.29073,-0.19086,0.14666
8,9,22243.8,449.6,0.010875706,0.16096,0.01375,0.39731,0.05403
9,10,24458.6,408.9,0.000162104,0.00218,-0.02794,0.03461,0.01428
10,11,25523.6,391.8,0.001686395,0.02175,0.05588,0.13648,0.00091
11,12,27959.6,357.7,0.357254192,4.20651,-0.52691,-1.94260,-0.39394
12,13,28626.9,349.3,0.012374816,0.14231,0.07654,0.36232,0.07193
13,14,31682.2,315.6,0.023059773,0.23962,-0.38669,0.19072,-0.23175
14,15,32341.7,309.2,0.001322219,0.01346,0.03844,0.08753,0.06573
15,16,33841.2,295.5,0.000174213,0.00169,-0.02724,0.02673,0.01543
16,17,34275.4,291.8,0.004353494,0.04181,-0.00345,-0.20233,-0.02939
17,18,34372.8,290.9,0.002954150,0.02829,0.02703,0.16314,-0.03081
18,19,34526.5,289.6,0.002451362,0.02337,-0.04988,-0.14206,-0.02657
19,20,34609.7,288.9,0.001326595,0.01262,-0.06516,-0.07540,0.05184
