,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,8118.3,1231.8,0.000648610,0.02630,0.07967,-0.04371,0.13433
1,2,15983.1,625.7,0.023471651,0.48346,0.13310,0.19618,-0.65365
2,3,16841.4,593.8,0.000367095,0.00718,-0.00973,0.06249,0.05636
3,4,17274.2,578.9,0.001066139,0.02032,-0.00496,-0.13969,-0.02796
4,5,23016.7,434.5,0.001913244,0.02737,-0.00281,0.15646,0.05364
5,6,25740.6,388.5,0.000377684,0.00483,-0.00583,0.05814,0.03764
6,7,26073.1,383.5,0.003802563,0.04801,0.14479,0.04633,-0.15780
7,8,28509.5,350.8,0.000043143,0.00050,-0.00250,-0.01794,-0.01304
8,9,30381.7,329.1,0.000240680,0.00261,-0.00996,-0.04996,-0.00361
9,10,32563.8,307.1,0.002218320,0.02243,0.05119,-0.07115,-0.12143
10,11,33020.2,302.8,0.004252453,0.04240,0.08909,0.09326,-0.16051
11,12,34694.5,288.2,0.000079737,0.00076,0.01264,0.01632,0.01818
12,13,35777.7,279.5,0.000002470,0.00002,0.00356,-0.00098,0.00301
13,14,36776.6,271.9,0.004504458,0.04032,-0.11623,0.00158,0.16374
14,15,37076.4,269.7,0.001256512,0.01116,0.06358,0.02442,-0.08074
15,16,37463.0,266.9,0.003243779,0.02851,0.02440,0.16668,0.01124
16,17,37550.7,266.3,0.003381110,0.02964,-0.14867,-0.07026,0.05101
17,18,37729.2,265.0,0.001100105,0.00960,-0.06932,0.05375,0.04364
18,19,38166.8,262.0,0.000794657,0.00685,-0.03361,0.00148,0.07565
19,20,39382.1,253.9,0.003955910,0.03307,-0.18089,0.00439,-0.01810
