,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,12168.0,821.8,0.000134938,0.00365,0.05190,-0.02448,-0.01892
1,2,16120.8,620.3,0.007539594,0.15397,0.36655,-0.12131,-0.06995
2,3,17073.2,585.7,0.000901030,0.01737,0.12276,-0.04006,-0.02646
3,4,21604.4,462.9,0.004115657,0.06272,-0.21767,-0.12378,-0.00393
4,5,24750.7,404.0,0.004661716,0.06201,-0.21932,0.05847,-0.10239
5,6,28949.6,345.4,0.000232560,0.00264,-0.05131,0.00158,-0.00313
6,7,29948.9,333.9,0.016938397,0.18619,-0.33550,-0.26850,-0.03924
7,8,31978.4,312.7,0.043429810,0.44710,0.46940,0.47390,0.04671
8,9,32385.3,308.8,0.001463642,0.01488,0.00406,-0.03057,-0.11802
9,10,34804.7,287.3,0.000395298,0.00374,-0.04915,-0.02943,-0.02138
10,11,36626.3,273.0,0.044906682,0.40364,-0.35822,0.50829,-0.13020
11,12,36904.9,271.0,0.001805659,0.01611,-0.02088,0.04875,0.11531
12,13,37206.7,268.8,0.027663190,0.24477,0.46493,0.15306,0.07203
13,14,38413.9,260.3,0.006193461,0.05308,0.19418,-0.11469,0.04711
14,15,41727.2,239.7,0.003340514,0.02636,0.00848,-0.16207,-0.00418
15,16,43033.3,232.4,0.000060133,0.00046,-0.00141,0.00608,0.02052
16,17,43533.4,229.7,0.017428561,0.13180,0.24749,0.26317,-0.03590
17,18,43620.5,229.2,0.085737422,0.64708,-0.50712,-0.62188,-0.05634
18,19,44437.2,225.0,0.000050134,0.00037,0.00362,0.00519,0.01820
19,20,46151.6,216.7,0.018796496,0.13408,0.35338,0.07840,0.05531
