,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,6863.0,1457.1,0.000168927,0.00810,-0.05128,-0.03653,0.06434
1,2,10830.7,923.3,0.005939305,0.18053,-0.38823,-0.03617,0.16881
2,3,16331.5,612.3,0.000703947,0.01419,0.10121,0.03757,-0.05034
3,4,20398.6,490.2,0.000091254,0.00147,0.01022,0.03489,0.01229
4,5,22422.8,446.0,0.167486468,2.45904,-0.99212,-0.67261,1.01111
5,6,24039.8,416.0,0.007147190,0.09788,0.11929,0.21953,0.18829
6,7,25196.3,396.9,0.002851839,0.03726,-0.16516,-0.06504,0.07586
7,8,27039.2,369.8,0.169013845,2.05781,-1.04793,-0.49136,0.84748
8,9,27459.3,364.2,0.014802119,0.17746,0.27822,0.09496,-0.30172
9,10,29154.4,343.0,0.006682853,0.07546,0.07929,-0.23807,0.11179
10,11,29916.9,334.3,0.013386978,0.14731,0.32039,-0.17933,0.11182
11,12,31041.6,322.1,0.003831770,0.04064,0.18665,-0.04850,-0.05872
12,13,31941.1,313.1,0.001131069,0.01166,0.06684,-0.04035,-0.07458
13,14,32847.9,304.4,0.008664195,0.08684,-0.21092,-0.15278,-0.13786
14,15,34150.1,292.8,0.014414478,0.13896,0.33182,-0.16942,-0.01216
15,16,34263.9,291.9,0.000346797,0.00333,0.00622,-0.02371,-0.05226
16,17,35220.9,283.9,0.004705998,0.04399,0.16094,-0.13411,0.01001
17,18,36074.4,277.2,0.001331887,0.01215,0.05062,-0.09314,0.03027
18,19,36919.4,270.9,0.003257468,0.02905,0.09964,-0.13824,0.00273
19,20,37131.8,269.3,0.057459134,0.50943,-0.66617,0.21929,-0.13252
