,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,8203.4,1219.0,0.003166646,0.12708,-0.26747,-0.20369,0.11853
1,2,8526.3,1172.8,0.016996084,0.65624,0.43938,0.66918,-0.12408
2,3,14880.0,672.0,0.000859747,0.01902,-0.06965,0.02059,-0.11724
3,4,15887.4,629.4,0.023851744,0.49425,-0.45863,0.40399,0.34741
4,5,16351.8,611.6,0.001049794,0.02114,-0.07242,0.01893,-0.12463
5,6,18675.4,535.5,0.000909558,0.01603,-0.05529,0.10002,0.05453
6,7,22017.5,454.2,0.001963308,0.02936,0.08968,-0.02782,0.14332
7,8,24888.6,401.8,0.000009550,0.00013,0.00252,0.00530,0.00958
8,9,26682.1,374.8,0.000000002,0.00000,0.00011,0.00013,0.00001
9,10,27775.0,360.0,0.000202823,0.00240,0.03230,-0.00672,0.03627
10,11,30007.7,333.2,0.000681897,0.00748,0.04973,-0.01309,0.06955
11,12,31005.0,322.5,0.000102534,0.00109,-0.01532,0.00490,-0.02881
12,13,31259.2,319.9,0.000405889,0.00427,-0.03895,0.01130,-0.05128
13,14,32043.1,312.1,0.000034684,0.00036,-0.01632,-0.00134,0.00939
14,15,33096.9,302.1,0.001088553,0.01083,-0.05575,0.07349,0.04815
15,16,33251.2,300.7,0.015076252,0.14927,0.15231,-0.31931,-0.15527
16,17,33916.1,294.8,0.000253466,0.00246,0.04033,-0.02259,0.01798
17,18,34562.0,289.3,0.015132887,0.14414,-0.12344,0.33654,0.12508
18,19,34823.4,287.2,0.000008325,0.00008,-0.00296,0.00833,0.00078
19,20,36463.1,274.3,0.000000327,0.00000,0.00106,-0.00048,-0.00126
