,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,10077.9,992.3,0.004005870,0.13086,0.02116,0.00549,-0.36108
1,2,10374.1,963.9,0.000170560,0.00541,-0.03077,0.04977,-0.04460
2,3,15490.2,645.6,0.008893783,0.18902,0.03940,-0.03151,-0.43183
3,4,18054.4,553.9,0.004208368,0.07674,0.25164,0.11541,-0.00973
4,5,20296.5,492.7,0.000687753,0.01116,0.09970,0.03058,0.01678
5,6,22768.6,439.2,0.004559948,0.06593,-0.16400,0.09458,-0.17347
6,7,27353.8,365.6,0.018612062,0.22400,-0.17411,0.40105,-0.18123
7,8,28583.4,349.9,0.070574474,0.81285,0.35179,-0.75349,0.34834
8,9,28742.0,347.9,0.199135141,2.28091,0.59899,-1.28385,0.52330
9,10,30076.2,332.5,0.060384666,0.66097,-0.28282,0.69907,-0.30378
10,11,30387.2,329.1,0.027657479,0.29964,-0.33768,0.32210,-0.28612
11,12,30742.9,325.3,0.119256333,1.27706,-0.59183,0.77272,-0.57420
12,13,31859.8,313.9,0.018948056,0.19579,-0.22498,0.32728,-0.19509
13,14,33248.4,300.8,0.003863233,0.03825,-0.04407,0.17828,-0.06727
14,15,35367.3,282.7,0.001287555,0.01199,0.00492,-0.10906,-0.00819
15,16,35778.1,279.5,0.009176580,0.08444,-0.19080,0.12210,-0.18200
16,17,36015.6,277.7,0.008157316,0.07456,0.24769,-0.04322,0.10653
17,18,36369.0,275.0,0.000731388,0.00662,-0.01459,0.06139,0.05137
18,19,37217.2,268.7,0.005613622,0.04966,0.15798,-0.04739,0.14984
19,20,37693.3,265.3,0.000757713,0.00662,-0.02174,0.04085,-0.06690
