,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,9462.3,1056.8,0.002228452,0.07753,0.01008,0.19010,0.20320
1,2,11555.5,865.4,0.000004460,0.00013,0.01057,0.00186,0.00346
2,3,12213.4,818.8,0.003453616,0.09309,-0.06352,-0.29673,0.03179
3,4,22703.2,440.5,0.078378029,1.13654,-0.04903,-0.66343,-0.83306
4,5,24296.5,411.6,0.016144257,0.21875,-0.36203,-0.15918,-0.24970
5,6,25627.5,390.2,0.035446348,0.45535,0.11084,-0.14354,-0.64997
6,7,29416.6,339.9,0.003032423,0.03394,0.15818,-0.01289,-0.09354
7,8,29908.8,334.3,0.001382710,0.01522,-0.06493,-0.03560,0.09867
8,9,30094.7,332.3,0.010345914,0.11318,0.01024,0.13791,-0.30668
9,10,30287.4,330.2,0.003827377,0.04160,0.05809,-0.10662,0.16389
10,11,31085.6,321.7,0.140065102,1.48336,-0.18142,-0.33905,1.15564
11,12,33294.2,300.4,0.000089638,0.00089,0.00300,0.00521,-0.02916
12,13,33917.9,294.8,0.000097245,0.00094,-0.02518,-0.00910,0.01506
13,14,34442.6,290.3,0.001656574,0.01583,-0.05144,0.01766,-0.11347
14,15,35311.5,283.2,0.001683041,0.01569,-0.09931,0.01192,0.07542
15,16,35970.4,278.0,0.000120327,0.00110,-0.03156,0.00688,-0.00762
16,17,37187.9,268.9,0.005057673,0.04477,0.09372,-0.02093,-0.18855
17,18,37848.5,264.2,0.009957665,0.08661,0.04772,0.07854,0.27958
18,19,38291.2,261.2,0.000549245,0.00472,-0.06408,0.01324,-0.02098
19,20,38429.5,260.2,0.044385418,0.38023,-0.05682,0.06181,0.61089
