,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,6490.2,1540.8,0.000002324,0.00012,-0.00035,-0.00022,-0.01085
1,2,13893.3,719.8,0.000000371,0.00001,0.00043,0.00017,0.00293
2,3,20022.8,499.4,0.000044943,0.00074,-0.00001,0.00069,-0.02717
3,4,20564.3,486.3,0.021860759,0.34997,-0.26464,0.52906,0.00493
4,5,20835.6,479.9,0.001411595,0.02230,-0.11703,0.09277,0.00093
5,6,24219.3,412.9,0.085707779,1.16502,1.05186,-0.24200,-0.00654
6,7,25906.3,386.0,0.000538679,0.00685,0.01879,-0.00827,0.08015
7,8,27603.5,362.3,0.002082805,0.02484,0.03853,0.15282,0.00126
8,9,29538.4,338.5,0.032551433,0.36279,-0.50699,0.32516,0.00436
9,10,31532.7,317.1,0.001518510,0.01585,0.04222,-0.11820,-0.00994
10,11,31634.6,316.1,0.000229999,0.00239,0.00853,-0.02624,0.04040
11,12,33542.2,298.1,0.000168858,0.00166,-0.04023,0.00623,0.00049
12,13,34720.6,288.0,0.000910305,0.00863,-0.00046,0.00082,-0.09290
13,14,35352.9,282.9,0.000891288,0.00830,-0.07604,0.05017,0.00080
14,15,35867.5,278.8,0.023879245,0.21918,0.38572,-0.26531,-0.00339
15,16,36327.7,275.3,0.001367775,0.01240,0.08873,0.06724,0.00116
16,17,37575.6,266.1,0.004905675,0.04298,0.20253,-0.04428,-0.00048
17,18,38037.1,262.9,0.002458548,0.02128,-0.00049,0.00119,-0.14587
18,19,38144.3,262.2,0.006478992,0.05592,0.00030,-0.00166,0.23646
19,20,38329.1,260.9,0.001479450,0.01271,-0.07383,0.08518,-0.00016
