,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,6709.4,1490.5,0.001540316,0.07558,0.08479,0.18317,0.18666
1,2,14034.7,712.5,0.010484801,0.24594,-0.30380,-0.21989,0.32449
2,3,18680.1,535.3,0.000070974,0.00125,-0.01980,-0.00933,0.02778
3,4,20184.7,495.4,0.000039816,0.00065,0.00012,-0.01970,0.01616
4,5,21525.1,464.6,0.004508222,0.06895,-0.16995,-0.15026,0.13226
5,6,22013.5,454.3,0.009655846,0.14440,-0.11009,-0.27675,-0.23600
6,7,23376.4,427.8,0.002250123,0.03169,-0.02759,-0.03949,-0.17137
7,8,25442.8,393.0,0.001455036,0.01883,-0.00145,0.03799,-0.13184
8,9,25907.8,386.0,0.002083788,0.02648,0.02959,0.07611,-0.14075
9,10,28040.2,356.6,0.004232257,0.04969,-0.09845,-0.01578,0.19937
10,11,28533.4,350.5,0.432241414,4.98711,-0.80627,0.00280,2.08255
11,12,30304.8,330.0,0.000082224,0.00089,-0.00733,-0.01943,0.02150
12,13,31698.3,315.5,0.026469470,0.27491,0.33724,0.40081,0.02286
13,14,33066.9,302.4,0.000346059,0.00345,0.05661,-0.01405,0.00659
14,15,33714.0,296.6,0.000000568,0.00001,0.00094,0.00057,-0.00208
15,16,34100.1,293.3,0.005945237,0.05740,0.10290,-0.03749,-0.21308
16,17,34163.0,292.7,0.010582875,0.10198,0.07670,-0.01651,-0.30956
17,18,34731.0,287.9,0.000689967,0.00654,0.05623,-0.05068,0.02846
18,19,35004.1,285.7,0.001206768,0.01135,0.04816,-0.00333,0.09497
19,20,35829.8,279.1,0.000542023,0.00498,-0.04171,-0.04579,-0.03382
