,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,8758.2,1141.8,0.000006772,0.00025,0.00432,-0.00467,0.01463
1,2,17782.1,562.4,0.023080411,0.42730,-0.54942,0.25587,0.24490
2,3,18571.5,538.5,0.004466241,0.07917,0.09632,-0.24952,-0.08737
3,4,25446.8,393.0,0.028271608,0.36576,-0.56731,-0.15388,0.14227
4,5,28873.4,346.3,0.235477332,2.68489,1.36904,-0.67441,-0.59648
5,6,29044.9,344.3,0.202497849,2.29523,1.27958,-0.55889,-0.58783
6,7,29538.5,338.5,0.037210346,0.41472,0.51415,-0.33861,-0.18896
7,8,30681.3,325.9,0.005440019,0.05837,0.18388,-0.14511,-0.05916
8,9,31156.0,321.0,0.000386367,0.00408,0.01829,-0.03873,0.04741
9,10,34060.0,293.6,0.218659870,2.11349,1.25055,-0.51353,-0.53469
10,11,34230.8,292.1,0.108680002,1.04522,-0.86859,0.37472,0.38775
11,12,34419.8,290.5,0.001198900,0.01147,-0.07752,0.05596,0.04823
12,13,34910.3,286.4,0.054078947,0.50998,-0.60212,0.30288,0.23600
13,14,37528.0,266.5,0.000392974,0.00345,0.04707,-0.01167,-0.03309
14,15,37768.6,264.8,0.007450008,0.06494,-0.12813,0.05397,0.21356
15,16,38019.4,263.0,0.001420917,0.01230,-0.10338,-0.00471,0.03992
16,17,39045.5,256.1,0.001219873,0.01029,0.07423,-0.03172,-0.06140
17,18,39922.8,250.5,0.000022865,0.00019,-0.01119,0.00269,0.00748
18,19,40131.3,249.2,0.001163718,0.00955,-0.01778,0.04522,0.08477
19,20,40557.4,246.6,0.013267310,0.10769,-0.20307,0.18931,0.17498
