,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,9643.4,1037.0,0.005326906,0.18185,0.00184,0.40313,0.13906
1,2,9945.2,1005.5,0.000141466,0.00468,-0.04997,0.04486,0.01320
2,3,16276.3,614.4,0.011488584,0.23237,0.07816,0.43382,0.19509
3,4,23064.0,433.6,0.002934259,0.04188,0.18757,0.02300,-0.07856
4,5,24481.0,408.5,0.003123721,0.04201,0.09189,-0.16851,0.07188
5,6,25708.0,389.0,0.048225938,0.61757,-0.56645,0.53781,-0.08640
6,7,26535.8,376.8,0.001634997,0.02028,-0.11506,0.08082,-0.02268
7,8,28478.2,351.1,0.000248148,0.00287,0.00814,0.04746,0.02346
8,9,29971.3,333.7,0.447705274,4.91770,2.12023,-0.57710,-0.29882
9,10,31473.5,317.7,0.034227256,0.35802,0.55903,-0.20957,-0.03986
10,11,32495.0,307.7,0.030307044,0.30705,0.47548,-0.28359,-0.02315
11,12,33376.1,299.6,0.000609425,0.00601,0.01819,0.06965,-0.02881
12,13,34371.6,290.9,0.000151966,0.00146,-0.02685,0.02597,-0.00777
13,14,35061.2,285.2,0.005342482,0.05016,0.11513,-0.12872,0.14262
14,15,37496.5,266.7,0.001052234,0.00924,0.08851,-0.03432,-0.01506
15,16,37832.2,264.3,0.025761192,0.22417,-0.36947,0.29419,0.03336
16,17,38042.1,262.9,0.007650580,0.06621,0.23934,-0.02492,-0.09111
17,18,38908.8,257.0,0.000156199,0.00132,-0.03025,0.01817,0.00873
18,19,39673.8,252.1,0.001203798,0.00999,-0.09023,-0.00270,0.04290
19,20,39978.2,250.1,0.002936375,0.02418,-0.13766,-0.05897,0.04185
