,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,8987.3,1112.7,0.003192147,0.11693,0.16032,0.27324,0.12872
1,2,12165.5,822.0,0.003035788,0.08215,-0.25186,-0.05682,0.12446
2,3,12826.8,779.6,0.009602381,0.24645,-0.19350,0.10244,-0.44555
3,4,16545.0,604.4,0.000244616,0.00487,-0.02098,0.02444,-0.06189
4,5,20160.9,496.0,0.061299414,1.00097,-0.51454,-0.74169,-0.43143
5,6,21002.9,476.1,0.006683620,0.10476,0.12770,0.21875,0.20150
6,7,24391.1,410.0,0.005870036,0.07923,-0.08266,-0.25982,-0.06992
7,8,26762.6,373.7,0.000839620,0.01033,0.01273,-0.10026,-0.01071
8,9,27251.1,367.0,0.000032109,0.00039,-0.00414,-0.01681,-0.00938
9,10,29229.1,342.1,0.122342055,1.37796,-0.05066,-1.08759,-0.43880
10,11,29571.1,338.2,0.005103308,0.05681,-0.07712,0.06148,0.21700
11,12,29822.3,335.3,0.101760858,1.12335,-0.12318,-0.97715,-0.39160
12,13,30833.1,324.3,0.030871580,0.32962,0.20054,-0.49233,-0.21683
13,14,31535.0,317.1,0.006674784,0.06968,-0.24366,0.07512,0.06834
14,15,31883.9,313.6,0.000894059,0.00923,-0.00781,0.09371,0.01971
15,16,31973.7,312.8,0.007630096,0.07856,0.04556,-0.27546,-0.02464
16,17,32013.4,312.4,0.000330323,0.00340,0.04605,0.03521,-0.00603
17,18,32353.0,309.1,0.004584732,0.04665,-0.05150,0.20398,-0.04891
18,19,32644.7,306.3,0.000709678,0.00716,-0.02243,-0.07604,-0.02953
19,20,33190.0,301.3,0.001199142,0.01189,-0.02292,-0.07083,0.07970
