,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,8807.7,1135.4,0.005207147,0.19463,0.20321,-0.01950,-0.39110
1,2,14321.2,698.3,0.000822517,0.01891,0.07945,0.00891,-0.11188
2,3,16398.2,609.8,0.000000097,0.00000,-0.00039,0.00015,-0.00133
3,4,19289.2,518.4,0.007345375,0.12536,0.10426,-0.03760,-0.33627
4,5,19493.8,513.0,0.184799983,3.12091,1.57153,0.44408,0.67379
5,6,20017.9,499.6,0.000015099,0.00025,0.00015,-0.01495,0.00498
6,7,24832.4,402.7,0.009122186,0.12094,-0.11083,0.31897,-0.08312
7,8,25497.6,392.2,0.000312799,0.00404,0.00801,-0.04584,-0.04328
8,9,28227.4,354.3,0.428551176,4.99813,-2.00590,-0.54939,-0.82016
9,10,29980.6,333.5,0.003023955,0.03321,0.07309,-0.14362,0.08507
10,11,30441.6,328.5,0.000000045,0.00000,-0.00042,0.00039,-0.00040
11,12,32028.3,312.2,0.000261866,0.00269,0.03048,0.04166,-0.00524
12,13,32785.0,305.0,0.000670717,0.00674,-0.03376,0.07459,-0.00565
13,14,33806.2,295.8,0.000155291,0.00151,0.03730,0.00845,0.00703
14,15,35574.6,281.1,0.003383158,0.03131,-0.17447,0.01187,0.02696
15,16,37031.9,270.0,0.000000072,0.00000,-0.00062,-0.00045,-0.00025
16,17,38667.7,258.6,0.023183613,0.19738,-0.17219,-0.11577,-0.39285
17,18,38703.3,258.4,0.015895312,0.13521,-0.35464,-0.08588,0.04538
18,19,38759.9,258.0,0.028043576,0.23819,-0.45868,-0.14684,-0.07902
19,20,38992.3,256.5,0.005832864,0.04925,0.15783,-0.12919,0.08744
