,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,14299.1,699.3,0.000000752,0.00002,-0.00004,0.00161,0.00383
1,2,19661.3,508.6,0.000127096,0.00213,-0.03026,-0.03475,0.00226
2,3,19843.6,503.9,0.011920356,0.19776,0.33065,0.28835,-0.07270
3,4,20336.7,491.7,0.000361646,0.00585,-0.05967,-0.04713,0.00857
4,5,24494.0,408.3,0.001328085,0.01785,-0.10500,-0.02390,-0.07908
5,6,26218.1,381.4,0.000007981,0.00010,0.00019,0.00347,-0.00939
6,7,29660.0,337.2,0.000577795,0.00641,0.07389,-0.03035,0.00565
7,8,33043.4,302.6,0.000065896,0.00066,-0.01781,-0.00947,-0.01580
8,9,33296.3,300.3,0.000952213,0.00941,-0.03317,-0.03364,-0.08475
9,10,34221.2,292.2,0.000421695,0.00406,-0.00428,0.02710,0.05748
10,11,34669.2,288.4,0.003254001,0.03090,-0.10280,-0.08382,0.11535
11,12,35796.5,279.4,0.009400699,0.08646,-0.06220,0.01736,0.28686
12,13,35842.0,279.0,0.000601794,0.00553,0.02224,0.02801,0.06518
13,14,35954.0,278.1,0.063320147,0.57979,-0.01725,0.18034,0.73957
14,15,36756.8,272.1,0.000927131,0.00830,0.03676,0.07170,0.04257
15,16,37951.0,263.5,0.004425937,0.03839,-0.03900,-0.19199,0.00355
16,17,38055.0,262.8,0.006402886,0.05539,0.12852,0.19322,-0.03924
17,18,38664.7,258.6,0.000183161,0.00156,0.03320,0.00806,0.01980
18,19,38970.9,256.6,0.001137518,0.00961,0.06475,0.07048,-0.02118
19,20,40063.8,249.6,0.000757958,0.00623,0.05198,-0.03490,0.04805
