,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,1363.8,7332.4,0.000078507,0.01895,-0.11284,-0.07710,0.01651
1,2,9535.1,1048.8,0.018015248,0.62200,0.46830,0.54867,-0.31884
2,3,17129.6,583.8,0.000863585,0.01660,-0.03813,-0.10881,0.05748
3,4,18948.1,527.8,0.001437424,0.02497,0.02572,0.14304,0.06207
4,5,21000.0,476.2,0.012996897,0.20375,-0.32289,-0.30089,-0.09462
5,6,23977.0,417.1,0.228238448,3.13379,-0.81935,-1.43451,0.63612
6,7,27914.1,358.2,0.004290182,0.05060,0.22194,0.01946,0.03101
7,8,28323.4,353.1,0.006283556,0.07304,-0.17589,-0.20497,-0.00920
8,9,29321.6,341.0,0.018342194,0.20594,-0.24228,-0.36147,0.12876
9,10,29899.2,334.5,0.000354298,0.00390,-0.02514,0.05621,-0.01048
10,11,30396.7,329.0,0.005213917,0.05647,-0.05470,-0.13606,0.18699
11,12,33046.4,302.6,0.003545804,0.03532,0.16018,-0.09753,-0.01246
12,13,33794.9,295.9,0.009728847,0.09477,-0.04797,-0.19134,0.23635
13,14,34781.8,287.5,0.003572236,0.03381,0.00533,0.10010,-0.15415
14,15,35417.8,282.3,0.061734637,0.57383,0.34624,0.56316,-0.36986
15,16,35997.9,277.8,0.002140214,0.01957,-0.12212,-0.06820,-0.00261
16,17,37000.2,270.3,0.011792005,0.10492,0.07836,-0.09518,0.29953
17,18,37396.2,267.4,0.003830971,0.03373,0.13350,0.06018,-0.11083
18,19,38082.3,262.6,0.000983169,0.00850,0.07769,-0.03689,0.03321
19,20,38404.3,260.4,0.017193813,0.14739,-0.31083,-0.19548,-0.11208
