,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,1301.6,7682.6,0.000017346,0.00439,0.06386,0.01564,0.00803
1,2,1881.3,5315.5,0.001136074,0.19880,0.44288,-0.01790,0.04837
2,3,2904.0,3443.5,0.001624667,0.18418,-0.42436,0.06349,-0.00828
3,4,5510.7,1814.6,0.000200015,0.01195,-0.07683,0.06321,0.04528
4,5,9398.8,1064.0,0.000960418,0.03364,0.05671,-0.09518,0.14617
5,6,9951.2,1004.9,0.091316209,3.02098,-0.80619,1.31922,0.79415
6,7,12565.2,795.8,0.010727345,0.28106,0.50333,0.00213,-0.16647
7,8,17872.7,559.5,0.008995965,0.16570,0.04431,-0.20461,0.34911
8,9,18552.1,539.0,0.002295404,0.04073,0.08331,-0.16857,-0.07332
9,10,20625.0,484.8,0.006516102,0.10401,0.04168,-0.03609,0.31776
10,11,21188.7,472.0,0.007646963,0.11881,0.28551,-0.19020,0.03346
11,12,23604.2,423.7,0.000344657,0.00481,-0.04171,0.05313,0.01564
12,13,24482.9,408.4,0.002969803,0.03993,-0.03064,0.08564,-0.17793
13,14,25366.7,394.2,0.018354795,0.23821,-0.46353,-0.12253,-0.09133
14,15,25902.2,386.1,0.002809647,0.03571,0.07641,-0.12995,-0.11394
15,16,26251.4,380.9,0.011515474,0.14441,-0.32912,0.12825,-0.14015
16,17,26984.7,370.6,0.026819364,0.32720,-0.56538,-0.05943,-0.06331
17,18,27626.4,362.0,0.001917250,0.02285,-0.14876,-0.02538,-0.00856
18,19,27794.0,359.8,0.011216965,0.13286,-0.23659,0.12471,-0.24766
19,20,28255.0,353.9,0.071511988,0.83322,-0.89996,-0.13608,-0.06910
