,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,13196.0,757.8,0.000010730,0.00027,-0.00148,0.01317,-0.00959
1,2,24199.8,413.2,0.006544530,0.08903,0.16127,-0.11486,-0.22323
2,3,27209.3,367.5,0.000449102,0.00543,0.06242,-0.02050,0.03343
3,4,34317.5,291.4,0.003720983,0.03570,0.17200,-0.06508,0.04331
4,5,34931.5,286.3,0.000593932,0.00560,0.07406,-0.00751,0.00751
5,6,35498.3,281.7,0.002284204,0.02118,0.03140,-0.08584,0.11326
6,7,37326.3,267.9,0.078302946,0.69062,-0.33827,-0.72585,0.22212
7,8,38773.8,257.9,0.013509618,0.11470,0.21993,-0.09410,0.23975
8,9,39989.5,250.1,0.010294160,0.08475,-0.12548,-0.25492,0.06339
9,10,41007.2,243.9,0.002855473,0.02292,0.08005,-0.08686,0.09471
10,11,41941.8,238.4,0.004206927,0.03302,-0.10329,-0.06424,-0.13500
11,12,43078.8,232.1,0.014060234,0.10745,0.09221,0.29782,-0.10123
12,13,44019.7,227.2,0.008651738,0.06470,0.23581,-0.09236,-0.02381
13,14,45522.0,219.7,0.006723956,0.04863,-0.12750,0.02294,0.17845
14,15,46079.2,217.0,0.010903420,0.07790,0.09984,0.25348,-0.06067
15,16,47149.8,212.1,0.027988584,0.19542,-0.14522,-0.36295,0.20641
16,17,47451.6,210.7,0.026979341,0.18718,0.03746,0.42623,-0.06405
17,18,47858.0,209.0,0.034490291,0.23726,-0.24492,-0.38319,0.17446
18,19,48129.7,207.8,0.000920674,0.00630,0.05230,-0.05782,0.01480
19,20,48448.3,206.4,0.001012016,0.00688,0.06438,0.04651,0.02384
