,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,2053.7,4869.2,0.000154309,0.02474,-0.14617,0.05135,0.02707
1,2,10721.1,932.7,0.000068205,0.00209,-0.04429,0.00077,0.01150
2,3,25736.9,388.5,0.002852942,0.03649,0.15211,-0.11557,0.00074
3,4,26971.2,370.8,0.017429590,0.21275,0.35390,-0.28820,-0.06666
4,5,28539.8,350.4,0.048325917,0.55745,-0.65365,0.27915,-0.22861
5,6,31728.4,315.2,0.001361125,0.01412,-0.11525,0.00010,-0.02900
6,7,32350.1,309.1,0.032781498,0.33360,-0.56827,0.10320,-0.00447
7,8,33377.9,299.6,0.004165325,0.04108,0.07955,0.15701,-0.10052
8,9,34025.7,293.9,0.001808992,0.01750,0.10419,0.02530,0.07751
9,10,35102.3,284.9,0.017759993,0.16656,-0.36548,0.17933,-0.02878
10,11,36359.7,275.0,0.001027998,0.00931,0.02564,-0.09297,0.00267
11,12,37228.0,268.6,0.006950480,0.06146,0.22312,-0.03510,0.10221
12,13,37765.1,264.8,0.003478577,0.03032,0.04272,-0.14754,0.08204
13,14,37933.2,263.6,0.002581220,0.02240,0.10323,-0.10272,0.03455
14,15,39084.3,255.9,0.000793252,0.00668,0.06411,0.02684,-0.04303
15,16,39370.1,254.0,0.015864303,0.13266,0.26024,0.16598,-0.19334
16,17,39848.3,251.0,0.000441805,0.00365,0.01827,-0.04534,0.03550
17,18,41635.2,240.2,0.002236182,0.01768,-0.12704,-0.02101,0.03319
18,19,41828.6,239.1,0.005049489,0.03974,-0.08803,0.17485,0.03770
19,20,43042.8,232.3,0.001920147,0.01469,0.09379,-0.04621,0.06128
