,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,5032.1,1987.2,0.000165129,0.01080,0.09978,0.01425,0.02537
1,2,8330.8,1200.4,0.000013875,0.00055,0.01784,-0.00850,0.01256
2,3,14293.3,699.6,0.006234509,0.14360,-0.10929,-0.04852,-0.35958
3,4,20470.8,488.5,0.002796165,0.04497,0.06202,0.20004,0.03325
4,5,20800.4,480.8,0.003665584,0.05802,0.04296,0.23557,0.02607
5,6,23452.3,426.4,0.018199950,0.25548,-0.35140,-0.01744,0.36290
6,7,25105.9,398.3,0.001178029,0.01545,0.11421,-0.00571,0.04869
7,8,25284.5,395.5,0.000802132,0.01044,-0.08922,0.04921,-0.00792
8,9,26706.2,374.4,0.002458629,0.03031,0.13383,0.09940,0.05017
9,10,26986.7,370.6,0.002405498,0.02934,0.01214,0.06551,-0.15782
10,11,29105.2,343.6,0.000182919,0.00207,0.02776,0.03132,-0.01781
11,12,30297.2,330.1,0.000727562,0.00791,-0.07817,-0.02365,-0.03516
12,13,30423.8,328.7,0.000282226,0.00305,0.04439,-0.00151,0.03288
13,14,31014.7,322.4,0.254317928,2.69951,1.43448,0.28206,0.74981
14,15,32791.7,305.0,0.002437015,0.02447,0.05617,0.14455,-0.02040
15,16,33414.5,299.3,0.001486846,0.01465,0.08104,0.06906,0.05755
16,17,33432.2,299.1,0.005988528,0.05897,-0.17981,-0.06197,-0.15099
17,18,34175.6,292.6,0.000025021,0.00024,0.01213,0.00961,0.00126
18,19,35030.7,285.5,0.001043976,0.00981,0.09882,-0.00558,0.00378
19,20,35886.7,278.7,0.000967156,0.00887,-0.07456,-0.01774,-0.05476
