,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,14385.7,695.1,0.000004823,0.00011,-0.00141,0.00225,-0.01016
1,2,20439.8,489.2,0.000001198,0.00002,0.00307,-0.00028,-0.00313
2,3,26049.6,383.9,0.000578242,0.00731,-0.02877,-0.07943,-0.01308
3,4,28587.4,349.8,0.017445532,0.20090,-0.41661,-0.12037,0.11335
4,5,30700.8,325.7,0.000000573,0.00001,0.00046,-0.00191,0.00151
5,6,31237.2,320.1,0.086766043,0.91444,0.90282,-0.00732,-0.31512
6,7,34226.5,292.2,0.001410424,0.01357,0.03129,-0.04074,0.10454
7,8,36293.8,275.5,0.001534653,0.01392,-0.03266,0.02674,-0.11017
8,9,36687.2,272.6,0.028189542,0.25296,-0.24776,0.39556,0.18737
9,10,37276.5,268.3,0.034303085,0.30295,0.35795,0.41786,-0.01482
10,11,38053.0,262.8,0.002400251,0.02077,-0.07315,-0.12412,-0.00292
11,12,39914.8,250.5,0.000000166,0.00000,-0.00092,0.00066,-0.00031
12,13,40221.9,248.6,0.000240881,0.00197,-0.02308,-0.03767,-0.00448
13,14,41230.6,242.5,0.000183668,0.00147,0.01971,-0.01770,-0.02765
14,15,42030.4,237.9,0.000894669,0.00701,0.02132,-0.01796,0.07893
15,16,42586.1,234.8,0.000001488,0.00001,0.00285,-0.00040,-0.00180
16,17,42828.7,233.5,0.038355528,0.29483,-0.48994,0.11204,0.20552
17,18,44124.2,226.6,0.110938991,0.82772,0.85143,0.08891,-0.30803
18,19,44153.5,226.5,0.001112602,0.00830,0.07204,0.01666,-0.05319
19,20,44420.4,225.1,0.009065624,0.06719,-0.23094,0.02467,-0.11510
