,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,9779.2,1022.6,0.000035821,0.00121,0.02578,-0.00022,-0.02327
1,2,24462.8,408.8,0.000502159,0.00676,-0.04832,-0.06252,0.02267
2,3,28835.5,346.8,0.010228916,0.11678,0.32000,-0.02590,0.11709
3,4,30054.2,332.7,0.013407577,0.14687,0.16957,-0.28431,0.19307
4,5,31772.9,314.7,0.010675003,0.11061,0.19650,-0.26077,0.06318
5,6,33327.2,300.1,0.000020477,0.00020,-0.00978,0.00937,-0.00434
6,7,34660.9,288.5,0.008017655,0.07615,0.24130,0.13299,-0.01546
7,8,35308.2,283.2,0.018216811,0.16985,-0.22231,-0.33874,0.07542
8,9,36585.0,273.3,0.006860605,0.06174,-0.05590,-0.24131,0.01951
9,10,36827.3,271.5,0.001171340,0.01047,0.04385,0.08803,0.02828
10,11,37021.9,270.1,0.001484026,0.01320,-0.08549,-0.04266,0.06379
11,12,38244.3,261.5,0.026471266,0.22787,0.03592,0.40228,-0.25446
12,13,39429.3,253.6,0.010825824,0.09039,0.17111,0.22265,-0.10742
13,14,41410.5,241.5,0.073337349,0.58303,0.74374,0.17247,-0.01184
14,15,42177.1,237.1,0.000607862,0.00474,-0.05272,-0.04126,0.01620
15,16,42436.2,235.6,0.000190132,0.00148,0.03046,0.00032,0.02339
16,17,43411.7,230.4,0.005565147,0.04220,0.19191,0.04663,0.05656
17,18,43654.4,229.1,0.103379434,0.77962,-0.83981,-0.21761,-0.16428
18,19,44311.7,225.7,0.024474716,0.18183,-0.40044,-0.14350,0.02977
19,20,44757.7,223.4,0.002302252,0.01693,-0.01930,-0.08651,0.09528
