,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,3033.9,3296.1,0.000003422,0.00037,-0.00999,-0.01634,0.00214
1,2,7530.6,1327.9,0.000043410,0.00190,-0.01255,-0.03951,-0.01338
2,3,15468.0,646.5,0.009490631,0.20199,-0.15260,0.30301,0.29478
3,4,21929.0,456.0,0.005772231,0.08666,-0.26718,0.11713,-0.03939
4,5,25715.3,388.9,0.007658291,0.09804,-0.21305,0.07441,-0.21706
5,6,27254.6,366.9,0.006799858,0.08214,0.26528,-0.01304,0.10767
6,7,29079.7,343.9,0.005920601,0.06703,0.19633,0.11724,-0.12139
7,8,29189.5,342.6,0.043161517,0.48679,-0.40047,0.24386,-0.51667
8,9,30206.7,331.1,0.002098634,0.02287,-0.13218,-0.07189,0.01526
9,10,32242.0,310.2,0.003017742,0.03081,0.13055,-0.02488,-0.11468
10,11,32556.0,307.2,0.004218025,0.04265,0.13018,0.11378,0.11296
11,12,34871.5,286.8,0.002186146,0.02064,0.03543,0.08918,0.10691
12,13,35336.0,283.0,0.001984273,0.01849,-0.09847,0.08090,-0.04739
13,14,35829.1,279.1,0.012671169,0.11643,-0.14329,0.18434,-0.24882
14,15,36243.5,275.9,0.001617699,0.01469,-0.02980,-0.04566,-0.10827
15,16,38659.7,258.7,0.009696241,0.08257,-0.04422,0.06049,0.27741
16,17,38888.9,257.1,0.000387029,0.00328,0.00954,0.04320,-0.03632
17,18,39839.3,251.0,0.018387485,0.15194,0.26850,-0.25930,0.11231
18,19,40358.7,247.8,0.039305879,0.32062,-0.34996,0.05629,-0.44157
19,20,41999.5,238.1,0.002029318,0.01591,0.04155,0.03860,-0.11265
