,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,8591.6,1163.9,0.001428658,0.05474,0.16682,0.04827,0.15679
1,2,11438.8,874.2,0.008256489,0.23762,-0.27677,-0.27261,-0.29446
2,3,12404.2,806.2,0.005957875,0.15812,-0.32375,0.18252,-0.14140
3,4,16216.3,616.7,0.018561442,0.37682,0.14664,0.52850,0.27568
4,5,18190.0,549.8,0.031249843,0.56558,0.40679,-0.63222,0.02009
5,6,20328.2,491.9,0.000292534,0.00474,0.03952,0.03476,0.04436
6,7,20620.4,485.0,0.001787499,0.02854,-0.08167,-0.14786,-0.00190
7,8,25730.1,388.6,0.015025543,0.19225,0.25183,-0.32590,0.15039
8,9,26436.9,378.3,0.079991507,0.99611,0.02620,0.94452,0.32141
9,10,27288.4,366.5,0.280740392,3.38691,0.33040,-1.73441,-0.51921
10,11,27984.4,357.3,0.232563204,2.73590,0.35139,-1.54593,-0.47173
11,12,30223.9,330.9,0.004819601,0.05250,0.03012,-0.22560,-0.02636
12,13,30555.2,327.3,0.000131816,0.00142,0.00241,0.03753,-0.00247
13,14,30575.5,327.1,0.000729649,0.00786,0.02491,0.02120,-0.08238
14,15,30844.9,324.2,0.007950187,0.08485,0.07535,-0.26903,-0.08245
15,16,31736.5,315.1,0.000043705,0.00045,-0.00394,0.01786,0.01090
16,17,32072.6,311.8,0.002214614,0.02273,-0.01509,0.12585,0.08165
17,18,33393.1,299.5,0.001317622,0.01299,-0.04463,0.10452,-0.00863
18,19,33797.4,295.9,0.003206470,0.03123,-0.03007,0.17153,0.03011
19,20,34373.6,290.9,0.000930785,0.00891,0.00853,-0.08736,-0.03479
