,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,1057.3,9457.9,0.000008387,0.00261,0.02809,0.03473,-0.02482
1,2,4720.2,2118.5,0.000143484,0.01001,0.07654,-0.04924,-0.04153
2,3,7227.0,1383.7,0.009180557,0.41820,-0.27177,-0.08355,-0.58083
3,4,19625.6,509.5,0.000162957,0.00273,0.02791,0.03150,-0.03102
4,5,21390.1,467.5,0.028427847,0.43753,0.47171,0.38407,0.25984
5,6,22486.6,444.7,0.000035263,0.00052,-0.01541,-0.01153,0.01208
6,7,24639.4,405.9,0.000908838,0.01214,0.08042,0.07149,-0.02375
7,8,27796.0,359.8,0.003545752,0.04200,0.14768,0.11184,0.08764
8,9,28504.5,350.8,0.002097021,0.02422,-0.06300,-0.03655,0.13753
9,10,28949.0,345.4,0.011312936,0.12865,0.30911,0.18186,0.00587
10,11,29634.4,337.4,0.000688080,0.00764,-0.05617,-0.06636,-0.00927
11,12,29825.1,335.3,0.019456895,0.21477,-0.32633,-0.32879,0.01318
12,13,31766.7,314.8,0.076530474,0.79312,-0.77639,-0.34701,-0.26443
13,14,32645.2,306.3,0.000140602,0.00142,-0.03631,0.00997,-0.00009
14,15,33942.8,294.6,0.000123401,0.00120,-0.03098,-0.01085,0.01093
15,16,34479.0,290.0,0.022674597,0.21650,-0.43093,0.17268,-0.03134
16,17,34850.4,286.9,0.016306497,0.15404,-0.13498,0.36477,0.05253
17,18,35705.2,280.1,0.000466789,0.00430,0.06130,-0.02131,-0.00961
18,19,35919.2,278.4,0.014838683,0.13600,0.30581,-0.14165,-0.14973
19,20,37047.4,269.9,0.000293263,0.00261,-0.01396,0.04864,0.00673
