,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,8172.5,1223.6,0.000420722,0.01695,0.03649,-0.02850,-0.12167
1,2,11760.3,850.3,0.000302161,0.00846,0.06755,-0.06217,-0.00555
2,3,14519.3,688.7,0.000204598,0.00464,-0.00970,-0.03174,0.05948
3,4,22586.1,442.8,0.054169189,0.78956,0.09421,0.22248,-0.85510
4,5,22905.9,436.6,0.095454247,1.37190,-0.16979,0.10849,-1.15382
5,6,24963.0,400.6,0.005648055,0.07449,0.03266,-0.21851,-0.16022
6,7,26656.5,375.1,0.091038495,1.12434,-0.07606,-0.27900,1.02016
7,8,27337.8,365.8,0.008385022,0.10098,0.05745,0.11756,-0.28958
8,9,28645.7,349.1,0.003696517,0.04248,0.01801,0.18706,-0.08465
9,10,30897.2,323.7,0.006997548,0.07456,-0.20497,0.01997,-0.17930
10,11,32296.8,309.6,0.006499405,0.06625,-0.12779,0.18678,-0.12261
11,12,32397.5,308.7,0.001929666,0.01961,-0.13128,0.00369,0.04859
12,13,33851.8,295.4,0.000160911,0.00156,-0.03223,-0.02252,0.00438
13,14,34536.1,289.6,0.027166947,0.25897,-0.23834,0.40094,-0.20350
14,15,34780.8,287.5,0.004660312,0.04411,-0.13953,0.12187,-0.09895
15,16,35202.6,284.1,0.000266684,0.00249,-0.04775,-0.01051,-0.01016
16,17,35536.4,281.4,0.001133543,0.01050,0.05216,-0.06200,0.06274
17,18,36358.3,275.0,0.000252724,0.00229,0.03129,0.00123,-0.03616
18,19,36968.8,270.5,0.018762603,0.16708,0.19395,-0.26813,-0.23994
19,20,38055.6,262.8,0.048030407,0.41550,0.47494,-0.41087,-0.14532
