,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,7047.9,1418.9,0.000037412,0.00175,0.03419,0.02331,0.00592
1,2,13626.5,733.9,0.021196718,0.51211,-0.27262,-0.55314,0.36307
2,3,19146.1,522.3,0.004822629,0.08292,0.12141,-0.13765,-0.22189
3,4,21310.7,469.2,0.001990272,0.03075,0.08602,0.14326,-0.05314
4,5,22958.0,435.6,0.000599230,0.00859,-0.02090,0.06959,-0.05756
5,6,24181.3,413.5,0.000718909,0.00979,-0.05636,-0.03757,-0.07211
6,7,24297.3,411.6,0.001480485,0.02006,0.07352,0.10384,-0.06222
7,8,25102.3,398.4,0.000878194,0.01152,0.02180,0.01533,-0.10396
8,9,26145.8,382.5,0.000384684,0.00484,0.04534,-0.05079,0.01445
9,10,27319.9,366.0,0.009964606,0.12008,-0.18213,-0.28957,-0.05529
10,11,28591.6,349.8,0.004385929,0.05050,-0.16475,-0.07123,0.13521
11,12,30450.4,328.4,0.006136310,0.06634,0.14532,0.20350,-0.06172
12,13,31130.0,321.2,0.017463659,0.18468,-0.33914,-0.26352,0.01513
13,14,32639.8,306.4,0.002141289,0.02160,0.02416,-0.10390,0.10109
14,15,35057.7,285.2,0.000389399,0.00366,-0.03084,-0.04088,0.03217
15,16,35594.1,280.9,0.006653347,0.06154,-0.16127,-0.18140,0.05120
16,17,37285.7,268.2,0.009450030,0.08344,0.13192,-0.12612,0.22390
17,18,37328.6,267.9,0.001073136,0.00946,0.07951,-0.04034,0.03893
18,19,37745.3,264.9,0.009534284,0.08316,-0.17848,0.18985,0.12354
19,20,38728.7,258.2,0.001934116,0.01644,-0.06103,-0.11265,-0.00512
