,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,8128.1,1230.3,0.001749850,0.07087,0.04832,0.06264,-0.25420
1,2,11633.6,859.6,0.009456549,0.26761,0.13291,0.11262,-0.48709
2,3,12803.9,781.0,0.001825138,0.04693,0.05520,-0.19326,-0.08082
3,4,16432.5,608.6,0.019556637,0.39180,-0.06619,-0.61179,0.11462
4,5,17856.7,560.0,0.012640460,0.23304,0.24865,-0.41233,-0.03465
5,6,18231.5,548.5,0.000830926,0.01500,0.02048,-0.05336,0.10834
6,7,19165.4,521.8,0.020593119,0.35374,-0.23529,0.45557,0.30139
7,8,20911.0,478.2,0.000474672,0.00747,-0.00792,-0.07793,-0.03656
8,9,24826.3,402.8,0.009611808,0.12746,0.31282,0.04264,0.16669
9,10,26178.1,382.0,0.016402701,0.20628,0.20674,-0.30214,-0.26879
10,11,27077.5,369.3,0.482205089,5.86272,-0.44806,2.35894,-0.31202
11,12,27808.3,359.6,0.047343743,0.56048,0.30764,-0.67966,0.06249
12,13,29126.8,343.3,0.001486388,0.01680,-0.01888,-0.12731,0.01537
13,14,29919.1,334.2,0.011049406,0.12158,0.01548,-0.33897,0.08027
14,15,31122.6,321.3,0.015688077,0.16595,-0.02058,0.40602,-0.02585
15,16,31499.9,317.5,0.000000007,0.00000,-0.00018,-0.00014,-0.00016
16,17,31633.7,316.1,0.001048923,0.01092,-0.03257,0.09927,-0.00035
17,18,32037.3,312.1,0.006869271,0.07059,0.00016,0.26474,0.02239
18,19,32723.2,305.6,0.000119178,0.00120,-0.00478,0.03016,-0.01632
19,20,34421.6,290.5,0.000941353,0.00900,-0.02183,-0.08672,-0.03171
