,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,17530.3,570.4,0.013585416,0.25513,-0.40673,-0.29685,-0.03978
1,2,22725.3,440.0,0.001839026,0.02664,0.15335,0.05173,0.02118
2,3,24873.1,402.0,0.000882058,0.01167,0.02377,-0.09456,0.04656
3,4,26420.5,378.5,0.000613755,0.00765,0.03130,-0.06698,-0.04670
4,5,27255.6,366.9,0.004958729,0.05990,0.10548,-0.21851,-0.03198
5,6,28918.9,345.8,0.004659304,0.05304,-0.13255,0.17938,-0.05741
6,7,30702.2,325.7,0.024732324,0.26520,0.08041,0.09659,-0.49940
7,8,31686.1,315.6,0.001398764,0.01453,0.09536,0.07061,0.02129
8,9,32211.9,310.4,0.002849248,0.02912,0.12739,-0.08393,0.07648
9,10,32275.2,309.8,0.004404034,0.04492,-0.14252,0.06069,0.14466
10,11,33142.1,301.7,0.009152609,0.09092,-0.21330,0.20463,0.05956
11,12,34069.5,293.5,0.002494320,0.02410,0.15482,0.01128,-0.00271
12,13,34919.5,286.4,0.008246734,0.07775,0.09009,-0.24265,-0.10369
13,14,35946.3,278.2,0.001688763,0.01547,0.09344,-0.07069,-0.04168
14,15,36644.3,272.9,0.003600708,0.03235,-0.16648,0.05332,0.04232
15,16,36782.0,271.9,0.003745646,0.03352,0.07175,0.15678,-0.06161
16,17,37918.0,263.7,0.005876271,0.05102,0.10436,-0.11988,0.16049
17,18,38057.0,262.8,0.000083510,0.00072,0.01475,-0.00940,-0.02040
18,19,39200.1,255.1,0.013117762,0.11017,-0.19146,0.11788,0.24416
19,20,39793.6,251.3,0.000652136,0.00540,-0.03352,-0.01594,0.06338
