,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,20597.6,485.5,0.016402824,0.26217,0.50015,-0.10960,-0.00303
1,2,25507.3,392.0,0.000796771,0.01028,0.07178,0.07135,0.00636
2,3,26110.6,383.0,0.001009534,0.01273,-0.07349,0.00423,0.08550
3,4,28708.5,348.3,0.000489610,0.00561,-0.00134,0.06593,-0.03559
4,5,30625.7,326.5,0.006093201,0.06550,-0.00273,0.08651,0.24085
5,6,30856.0,324.1,0.005556741,0.05929,0.14325,0.19684,0.00454
6,7,31846.4,314.0,0.009863384,0.10196,-0.21495,-0.12056,-0.20304
7,8,32688.9,305.9,0.003738653,0.03765,0.17941,-0.03845,-0.06314
8,9,33968.2,294.4,0.005235932,0.05075,-0.00445,-0.11869,-0.19141
9,10,34908.6,286.5,0.000077285,0.00073,-0.01283,-0.01932,0.01381
10,11,35467.9,281.9,0.003260476,0.03026,0.04962,-0.16022,0.04617
11,12,35714.3,280.0,0.001318690,0.01216,-0.01362,0.10551,0.02893
12,13,36619.1,273.1,0.009697713,0.08718,0.00987,-0.20043,-0.21660
13,14,38057.0,262.8,0.007786855,0.06736,-0.00118,-0.08859,0.24395
14,15,38334.6,260.9,0.005948364,0.05108,-0.07459,-0.21131,-0.02951
15,16,39228.4,254.9,0.022340299,0.18748,-0.12863,-0.22855,-0.34453
16,17,39369.6,254.0,0.015012468,0.12554,-0.08363,-0.32584,0.11123
17,18,40778.1,245.2,0.003975119,0.03209,-0.11838,-0.12172,-0.05711
18,19,41280.9,242.2,0.000997002,0.00795,0.03408,-0.06094,0.05546
19,20,42371.4,236.0,0.001327481,0.01031,0.02891,-0.05066,-0.08314
